"","Rk","Date","Tm","X","Opp","Result","X.1","Dist","Good.","Blk."
"433",116,2017-09-17,"PIT",NA,"MIN","W 26-9","Chris Boswell\BoswCh00",46,"Y","N"
"434",117,2017-09-17,"SFO","@","SEA","L 9-12","Robbie Gould\gouldrob01",34,"Y","N"
"435",118,2017-09-17,"WAS","@","LAR","W 27-20","Dustin Hopkins\HopkDu00",41,"Y","N"
"436",119,2017-09-17,"MIN","@","PIT","L 9-26","Kai Forbath\ForbKa00",42,"Y","N"
"437",120,2017-09-17,"ATL",NA,"GNB","W 34-23","Matt Bryant\bryanmat01",51,"Y","N"
"438",121,2017-09-17,"CAR",NA,"BUF","W 9-3","Graham Gano\GanoGr44",20,"Y","N"
"439",122,2017-09-17,"IND",NA,"ARI","L 13-16","Adam Vinatieri\vinatada01",29,"Y","N"
"440",123,2017-09-17,"LAC",NA,"MIA","L 17-19","YoungHoe Koo\KooxYo00",43,"N","N"
"441",124,2017-09-17,"TAM",NA,"CHI","W 29-7","Nick Folk\FolkNi20",23,"Y","N"
"442",125,2017-09-14,"CIN",NA,"HOU","L 9-13","Randy Bullock\BullRa00",29,"Y","N"
"443",126,2017-09-14,"HOU","@","CIN","W 13-9","Ka'imi Fairbairn\FairKa01",26,"Y","N"
"444",127,2017-09-14,"CIN",NA,"HOU","L 9-13","Randy Bullock\BullRa00",39,"Y","N"
"445",128,2017-09-14,"CIN",NA,"HOU","L 9-13","Randy Bullock\BullRa00",30,"Y","N"
"446",129,2017-09-14,"HOU","@","CIN","W 13-9","Ka'imi Fairbairn\FairKa01",42,"Y","N"
"447",130,2017-09-11,"MIN",NA,"NOR","W 29-19","Kai Forbath\ForbKa00",45,"Y","N"
"448",131,2017-09-11,"NOR","@","MIN","L 19-29","Wil Lutz\LutzWi00",21,"Y","N"
"449",132,2017-09-11,"DEN",NA,"LAC","W 24-21","Brandon McManus\McMaBr01",20,"Y","N"
"450",133,2017-09-11,"NOR","@","MIN","L 19-29","Wil Lutz\LutzWi00",20,"Y","N"
"451",134,2017-09-11,"MIN",NA,"NOR","W 29-19","Kai Forbath\ForbKa00",32,"Y","N"
"452",135,2017-09-11,"LAC","@","DEN","L 21-24","YoungHoe Koo\KooxYo00",44,"N","Y"
"453",136,2017-09-11,"NOR","@","MIN","L 19-29","Wil Lutz\LutzWi00",43,"Y","N"
"454",137,2017-09-11,"NOR","@","MIN","L 19-29","Wil Lutz\LutzWi00",24,"Y","N"
"455",138,2017-09-11,"DEN",NA,"LAC","W 24-21","Brandon McManus\McMaBr01",50,"N","N"
"456",139,2017-09-11,"MIN",NA,"NOR","W 29-19","Kai Forbath\ForbKa00",24,"Y","N"
"457",140,2017-09-10,"ATL","@","CHI","W 23-17","Matt Bryant\bryanmat01",48,"Y","N"
"458",141,2017-09-10,"BUF",NA,"NYJ","W 21-12","Steven Hauschka\HausSt00",46,"N","N"
"459",142,2017-09-10,"NYG","@","DAL","L 3-19","Aldrick Rosas\RosaAl00",25,"Y","N"
"460",143,2017-09-10,"CAR","@","SFO","W 23-3","Graham Gano\GanoGr44",20,"Y","N"
"461",144,2017-09-10,"IND","@","LAR","L 9-46","Adam Vinatieri\vinatada01",20,"Y","N"
"462",145,2017-09-10,"DAL",NA,"NYG","W 19-3","Dan Bailey\BailDa00",36,"Y","N"
"463",146,2017-09-10,"OAK","@","TEN","W 26-16","Giorgio Tavecchio\TaveGi00",20,"Y","N"
"464",147,2017-09-10,"DET",NA,"ARI","W 35-23","Matt Prater\PratMa20",58,"Y","N"
"465",148,2017-09-10,"LAR",NA,"IND","W 46-9","Greg Zuerlein\ZuerGr00",44,"Y","N"
"466",149,2017-09-10,"JAX","@","HOU","W 29-7","Jason Myers\MyerJa00",42,"Y","N"
"467",150,2017-09-10,"SEA","@","GNB","L 9-17","Blair Walsh\WalsBl00",41,"Y","N"
"468",151,2017-09-10,"TEN",NA,"OAK","L 16-26","Ryan Succop\SuccRy44",52,"N","N"
"469",152,2017-09-10,"PHI","@","WAS","W 30-17","Caleb Sturgis\SturCa00",50,"Y","N"
"470",153,2017-09-10,"ARI","@","DET","L 23-35","Phil Dawson\dawsophi01",24,"Y","N"
"471",154,2017-09-10,"DAL",NA,"NYG","W 19-3","Dan Bailey\BailDa00",21,"Y","N"
"472",155,2017-09-10,"OAK","@","TEN","W 26-16",NA,52,"Y","N"
"473",156,2017-09-10,"BAL","@","CIN","W 20-0","Justin Tucker\TuckJu00",25,"Y","N"
"474",157,2017-09-10,"WAS",NA,"PHI","L 17-30","Dustin Hopkins\HopkDu00",33,"Y","N"
"475",158,2017-09-10,"ATL","@","CHI","W 23-17","Matt Bryant\bryanmat01",37,"Y","N"
"476",159,2017-09-10,"TEN",NA,"OAK","L 16-26","Ryan Succop\SuccRy44",23,"Y","N"
"477",160,2017-09-10,"OAK","@","TEN","W 26-16","Giorgio Tavecchio\TaveGi00",52,"Y","N"
"478",161,2017-09-10,"JAX","@","HOU","W 29-7","Jason Myers\MyerJa00",39,"N","N"
"479",162,2017-09-10,"CAR","@","SFO","W 23-3","Graham Gano\GanoGr44",36,"Y","N"
"480",163,2017-09-10,"PHI","@","WAS","W 30-17","Caleb Sturgis\SturCa00",37,"Y","N"
"481",164,2017-09-10,"DAL",NA,"NYG","W 19-3","Dan Bailey\BailDa00",42,"Y","N"
"482",165,2017-09-10,"OAK","@","TEN","W 26-16",NA,43,"Y","N"
"483",166,2017-09-10,"LAR",NA,"IND","W 46-9","Greg Zuerlein\ZuerGr00",35,"Y","N"
"484",167,2017-09-10,"SEA","@","GNB","L 9-17","Blair Walsh\WalsBl00",21,"Y","N"
"485",168,2017-09-10,"NYJ","@","BUF","L 12-21","Chandler Catanzaro\CataCh00",52,"Y","N"
"486",169,2017-09-10,"TEN",NA,"OAK","L 16-26","Ryan Succop\SuccRy44",52,"Y","N"
"487",170,2017-09-10,"OAK","@","TEN","W 26-16",NA,20,"Y","N"
"488",171,2017-09-10,"ATL","@","CHI","W 23-17","Matt Bryant\bryanmat01",28,"Y","N"
"489",172,2017-09-10,"IND","@","LAR","L 9-46","Adam Vinatieri\vinatada01",38,"N","N"
"490",173,2017-09-10,"OAK","@","TEN","W 26-16","Giorgio Tavecchio\TaveGi00",52,"Y","N"
"491",174,2017-09-10,"JAX","@","HOU","W 29-7","Jason Myers\MyerJa00",25,"Y","N"
"492",175,2017-09-10,"CAR","@","SFO","W 23-3","Graham Gano\GanoGr44",39,"Y","N"
"493",176,2017-09-10,"CHI",NA,"ATL","L 17-23","Connor Barth\barthco01",54,"Y","N"
"494",177,2017-09-10,"CLE",NA,"PIT","L 18-21","Zane Gonzalez\GonzZa00",24,"Y","N"
"495",178,2017-09-10,"PHI","@","WAS","W 30-17","Caleb Sturgis\SturCa00",42,"Y","N"
"496",179,2017-09-10,"ARI","@","DET","L 23-35","Phil Dawson\dawsophi01",32,"N","N"
"497",180,2017-09-10,"DAL",NA,"NYG","W 19-3","Dan Bailey\BailDa00",48,"Y","N"
"498",181,2017-09-10,"OAK","@","TEN","W 26-16",NA,52,"Y","N"
"499",182,2017-09-10,"LAR",NA,"IND","W 46-9","Greg Zuerlein\ZuerGr00",50,"Y","N"
"500",183,2017-09-10,"GNB",NA,"SEA","W 17-9","Mason Crosby\CrosMa20",40,"Y","N"
"501",184,2017-09-10,"BAL","@","CIN","W 20-0","Justin Tucker\TuckJu00",25,"Y","N"
"502",185,2017-09-10,"SEA","@","GNB","L 9-17","Blair Walsh\WalsBl00",33,"Y","N"
"503",186,2017-09-10,"NYJ","@","BUF","L 12-21","Chandler Catanzaro\CataCh00",48,"Y","N"
"504",187,2017-09-10,"TEN",NA,"OAK","L 16-26","Ryan Succop\SuccRy44",26,"Y","N"
"505",188,2017-09-10,"OAK","@","TEN","W 26-16","Giorgio Tavecchio\TaveGi00",43,"Y","N"
"506",189,2017-09-10,"JAX","@","HOU","W 29-7","Jason Myers\MyerJa00",38,"Y","N"
"507",190,2017-09-10,"SFO",NA,"CAR","L 3-23","Robbie Gould\gouldrob01",44,"Y","N"
"508",191,2017-09-07,"NWE",NA,"KAN","L 27-42","Stephen Gostkowski\GostSt20",32,"Y","N"
"509",192,2017-09-07,"NWE",NA,"KAN","L 27-42","Stephen Gostkowski\GostSt20",25,"Y","N"
"510",193,NA,"MIA","@","LAC","W 19-17","Cody Parkey\ParkCo03",35,"Y","N"
"511",194,NA,"MIA","@","LAC","W 19-17","Cody Parkey\ParkCo03",28,"Y","N"
"512",195,NA,"MIA","@","LAC","W 19-17","Cody Parkey\ParkCo03",54,"Y","N"
"513",196,NA,"MIA","@","LAC","W 19-17","Cody Parkey\ParkCo03",30,"Y","N"
