Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
24,2017-01-01,GNB,@,DET,W 31-24,Mason Crosby\CrosMa20,53,Y,N
25,2017-01-01,CLE,@,PIT,L 24-27,Cody Parkey\ParkCo03,49,N,N
26,2017-01-01,TAM,,CAR,W 17-16,Roberto Aguayo\AguaRo00,33,Y,N
27,2017-01-01,KAN,@,SDG,W 37-27,Cairo Santos\SantCa01,25,Y,N
28,2017-01-01,SDG,,KAN,L 27-37,Josh Lambo\LambJo00,35,Y,N
29,2017-01-01,DEN,,OAK,W 24-6,Brandon McManus\McMaBr01,22,Y,N
30,2017-01-01,ATL,,NOR,W 38-32,Matt Bryant\bryanmat01,22,Y,N
31,2017-01-01,CIN,,BAL,W 27-10,Randy Bullock\BullRa00,23,Y,N
32,2017-01-01,CAR,@,TAM,L 16-17,Graham Gano\GanoGr44,58,N,N
33,2017-01-01,NWE,@,MIA,W 35-14,Stephen Gostkowski\GostSt20,40,Y,N
34,2017-01-01,SEA,@,SFO,W 25-23,Steven Hauschka\HausSt00,33,Y,N
35,2017-01-01,PHI,,DAL,W 27-13,Caleb Sturgis\SturCa00,33,Y,N
36,2017-01-01,NYG,@,WAS,W 19-10,Robbie Gould\gouldrob01,40,Y,N
37,2017-01-01,ARI,@,LAR,W 44-6,Chandler Catanzaro\CataCh00,32,Y,N
38,2017-01-01,MIN,,CHI,W 38-10,Kai Forbath\ForbKa00,21,Y,N
39,2017-01-01,DET,,GNB,L 24-31,Matt Prater\PratMa20,54,Y,N
40,2017-01-01,JAX,@,IND,L 20-24,Jason Myers\MyerJa00,54,N,N
41,2017-01-01,TAM,,CAR,W 17-16,Roberto Aguayo\AguaRo00,48,N,Y
42,2017-01-01,IND,,JAX,W 24-20,Adam Vinatieri\vinatada01,48,N,N
43,2017-01-01,LAR,,ARI,L 6-44,Greg Zuerlein\ZuerGr00,36,Y,N
44,2017-01-01,NYJ,,BUF,W 30-10,Nick Folk\FolkNi20,30,Y,N
45,2017-01-01,KAN,@,SDG,W 37-27,Cairo Santos\SantCa01,35,Y,N
46,2017-01-01,CAR,@,TAM,L 16-17,Graham Gano\GanoGr44,36,N,N
47,2017-01-01,NWE,@,MIA,W 35-14,Stephen Gostkowski\GostSt20,52,N,N
48,2017-01-01,ARI,@,LAR,W 44-6,Chandler Catanzaro\CataCh00,47,Y,N
49,2017-01-01,DAL,@,PHI,L 13-27,Dan Bailey\BailDa00,23,Y,N
50,2017-01-01,NOR,@,ATL,L 32-38,Wil Lutz\LutzWi00,40,Y,N
51,2017-01-01,CLE,@,PIT,L 24-27,Cody Parkey\ParkCo03,34,Y,N
52,2017-01-01,TEN,,HOU,W 24-17,Ryan Succop\SuccRy44,35,Y,N
53,2017-01-01,CAR,@,TAM,L 16-17,Graham Gano\GanoGr44,45,N,N
54,2017-01-01,HOU,@,TEN,L 17-24,Nick Novak\novaknic01,26,Y,N
55,2017-01-01,WAS,,NYG,L 10-19,Dustin Hopkins\HopkDu00,32,Y,N
56,2017-01-01,SEA,@,SFO,W 25-23,Steven Hauschka\HausSt00,32,Y,N
57,2017-01-01,PHI,,DAL,W 27-13,Caleb Sturgis\SturCa00,49,N,N
58,2017-01-01,NYG,@,WAS,W 19-10,Robbie Gould\gouldrob01,22,Y,N
59,2017-01-01,DET,,GNB,L 24-31,Matt Prater\PratMa20,39,N,N
60,2017-01-01,JAX,@,IND,L 20-24,Jason Myers\MyerJa00,30,N,N
61,2017-01-01,NYJ,,BUF,W 30-10,Nick Folk\FolkNi20,25,Y,N
62,2016-12-26,DET,@,DAL,L 21-42,Matt Prater\PratMa20,47,N,N
63,2016-12-25,PIT,,BAL,W 31-27,Chris Boswell\BoswCh00,36,Y,N
64,2016-12-25,KAN,,DEN,W 33-10,Cairo Santos\SantCa01,39,Y,N
65,2016-12-25,BAL,@,PIT,L 27-31,Justin Tucker\TuckJu00,38,Y,N
66,2016-12-25,BAL,@,PIT,L 27-31,Justin Tucker\TuckJu00,23,Y,N
