"","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","Dome"
"53","1/1/17","Caleb Sturgis\SturCa00",49,"N","N","Home",0.854,48,3,37.63,0.81,"NOT DOME"
"54","1/1/17","Matt Prater\PratMa20",39,"N","N","Home",0.861,65,10,40.17,0.831,"DOME"
"55","1/1/17","Jason Myers\MyerJa00",30,"N","N","Away",0.794,65,1,42.82,0.824,"DOME"
"56","1/1/17","Nick Folk\FolkNi20",25,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"57","12/26/16","Matt Prater\PratMa20",47,"N","N","Away",0.861,39,10,40.17,0.831,"NOT DOME"
"58","12/25/16","Chris Boswell\BoswCh00",36,"Y","N","Home",0.84,39,1,40.64,0.877,"NOT DOME"
"59","12/25/16","Cairo Santos\SantCa01",39,"Y","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"60","12/25/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"61","12/25/16","Justin Tucker\TuckJu00",23,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"62","12/25/16","Cairo Santos\SantCa01",27,"Y","N","Home",0.886,52,2,35.63,0.843,"NOT DOME"
"63","12/25/16","Justin Tucker\TuckJu00",41,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"64","12/25/16","Brandon McManus\McMaBr01",52,"Y","N","Away",0.853,52,2,37.88,0.821,"NOT DOME"
"65","12/25/16","Justin Tucker\TuckJu00",46,"Y","N","Away",0.974,39,4,41.95,0.899,"NOT DOME"
"66","12/25/16","Cairo Santos\SantCa01",39,"N","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"67","12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,39,7,40.61,0.8,"NOT DOME"
"68","12/24/16","Adam Vinatieri\vinatada01",42,"Y","N","Away",0.871,39,20,43.16,0.842,"NOT DOME"
"69","12/24/16","Nick Novak\novaknic01",25,"Y","N","Home",0.854,35,9,36.78,0.828,"NOT DOME"
"70","12/24/16","Dustin Hopkins\HopkDu00",29,"Y","N","Away",0.81,35,2,36.9,0.845,"NOT DOME"
"71","12/24/16","Steven Hauschka\HausSt00",45,"N","Y","Home",0.892,35,9,34.14,0.868,"NOT DOME"
"72","12/24/16","Jason Myers\MyerJa00",56,"Y","N","Home",0.794,52,1,42.82,0.824,"NOT DOME"
"73","12/24/16","Nick Folk\FolkNi20",29,"Y","N","Away",0.871,52,9,33.97,0.813,"NOT DOME"
"74","12/24/16","Cody Parkey\ParkCo03",49,"Y","N","Home",0.8,52,2,37.6,0.846,"NOT DOME"
"75","12/24/16","Josh Lambo\LambJo00",32,"N","Y","Away",0.813,35,1,36.38,0.813,"NOT DOME"
"76","12/24/16","Andrew Franks\FranAn01",27,"Y","N","Away",0.762,72,1,32.86,0.784,"NOT DOME"
"77","12/24/16","Matt Bryant\bryanmat01",29,"Y","N","Away",0.919,72,15,37.3,0.858,"NOT DOME"
"78","12/24/16","Dan Carpenter\CarpDa44",46,"N","N","Home",0.76,37,8,36.16,0.84,"NOT DOME"
"79","12/24/16","Ryan Succop\SuccRy44",42,"Y","N","Away",0.917,60,7,39.33,0.831,"NOT DOME"
"80","12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,65,7,40.61,0.8,"NOT DOME"
"81","12/24/16","Stephen Gostkowski\GostSt20",29,"Y","N","Home",0.844,35,10,37.16,0.871,"NOT DOME"
