"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"43",43,43,"1/1/17","Greg Zuerlein\ZuerGr00",36,"Y","N","Home",0.864,56,4,38.68,0.799,"NOT DOME"
"44",44,44,"1/1/17","Nick Folk\FolkNi20",30,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"45",45,45,"1/1/17","Cairo Santos\SantCa01",35,"Y","N","Away",0.886,56,2,35.63,0.843,"NOT DOME"
"46",46,46,"1/1/17","Graham Gano\GanoGr44",36,"N","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"47",47,47,"1/1/17","Stephen Gostkowski\GostSt20",52,"N","N","Away",0.844,80,10,37.16,0.871,"NOT DOME"
"48",48,48,"1/1/17","Chandler Catanzaro\CataCh00",47,"Y","N","Away",0.75,56,2,39.07,0.851,"NOT DOME"
"49",49,49,"1/1/17","Dan Bailey\BailDa00",23,"Y","N","Away",0.844,48,5,38.41,0.897,"NOT DOME"
"50",50,50,"1/1/17","Wil Lutz\LutzWi00",40,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"51",51,51,"1/1/17","Cody Parkey\ParkCo03",34,"Y","N","Away",0.8,38,2,37.6,0.846,"NOT DOME"
"52",52,52,"1/1/17","Ryan Succop\SuccRy44",35,"Y","N","Home",0.917,49,7,39.33,0.831,"NOT DOME"
"53",53,53,"1/1/17","Graham Gano\GanoGr44",45,"N","N","Away",0.789,76,7,40.61,0.8,"NOT DOME"
"54",54,54,"1/1/17","Nick Novak\novaknic01",26,"Y","N","Away",0.854,49,9,36.78,0.828,"NOT DOME"
"55",55,55,"1/1/17","Dustin Hopkins\HopkDu00",32,"Y","N","Home",0.81,52,2,36.9,0.845,"NOT DOME"
"56",56,56,"1/1/17","Steven Hauschka\HausSt00",32,"Y","N","Away",0.892,52,9,34.14,0.868,"NOT DOME"
"57",57,57,"1/1/17","Caleb Sturgis\SturCa00",49,"N","N","Home",0.854,48,3,37.63,0.81,"NOT DOME"
"58",58,58,"1/1/17","Robbie Gould\gouldrob01",22,"Y","N","Away",1,52,11,36.3,0.859,"NOT DOME"
"59",59,59,"1/1/17","Matt Prater\PratMa20",39,"N","N","Home",0.861,65,10,40.17,0.831,"DOME"
"60",60,60,"1/1/17","Jason Myers\MyerJa00",30,"N","N","Away",0.794,65,1,42.82,0.824,"DOME"
"61",61,61,"1/1/17","Nick Folk\FolkNi20",25,"Y","N","Home",0.871,45,9,33.97,0.813,"NOT DOME"
"62",62,62,"12/26/16","Matt Prater\PratMa20",47,"N","N","Away",0.861,39,10,40.17,0.831,"NOT DOME"
"63",63,63,"12/25/16","Chris Boswell\BoswCh00",36,"Y","N","Home",0.84,39,1,40.64,0.877,"NOT DOME"
"64",64,64,"12/25/16","Cairo Santos\SantCa01",39,"Y","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"65",65,65,"12/25/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"66",66,66,"12/25/16","Justin Tucker\TuckJu00",23,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"67",67,67,"12/25/16","Cairo Santos\SantCa01",27,"Y","N","Home",0.886,52,2,35.63,0.843,"NOT DOME"
"68",68,68,"12/25/16","Justin Tucker\TuckJu00",41,"Y","N","Away",0.974,52,4,41.95,0.899,"NOT DOME"
"69",69,69,"12/25/16","Brandon McManus\McMaBr01",52,"Y","N","Away",0.853,52,2,37.88,0.821,"NOT DOME"
"70",70,70,"12/25/16","Justin Tucker\TuckJu00",46,"Y","N","Away",0.974,39,4,41.95,0.899,"NOT DOME"
"71",71,71,"12/25/16","Cairo Santos\SantCa01",39,"N","N","Home",0.886,39,2,35.63,0.843,"NOT DOME"
"72",72,72,"12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,39,7,40.61,0.8,"NOT DOME"
"73",73,73,"12/24/16","Adam Vinatieri\vinatada01",42,"Y","N","Away",0.871,39,20,43.16,0.842,"NOT DOME"
"74",74,74,"12/24/16","Nick Novak\novaknic01",25,"Y","N","Home",0.854,35,9,36.78,0.828,"NOT DOME"
"75",75,75,"12/24/16","Dustin Hopkins\HopkDu00",29,"Y","N","Away",0.81,35,2,36.9,0.845,"NOT DOME"
"76",76,76,"12/24/16","Steven Hauschka\HausSt00",45,"N","Y","Home",0.892,35,9,34.14,0.868,"NOT DOME"
"77",77,77,"12/24/16","Jason Myers\MyerJa00",56,"Y","N","Home",0.794,52,1,42.82,0.824,"NOT DOME"
"78",78,78,"12/24/16","Nick Folk\FolkNi20",29,"Y","N","Away",0.871,52,9,33.97,0.813,"NOT DOME"
"79",79,79,"12/24/16","Cody Parkey\ParkCo03",49,"Y","N","Home",0.8,52,2,37.6,0.846,"NOT DOME"
"80",80,80,"12/24/16","Josh Lambo\LambJo00",32,"N","Y","Away",0.813,35,1,36.38,0.813,"NOT DOME"
"81",81,81,"12/24/16","Andrew Franks\FranAn01",27,"Y","N","Away",0.762,72,1,32.86,0.784,"NOT DOME"
"82",82,82,"12/24/16","Matt Bryant\bryanmat01",29,"Y","N","Away",0.919,72,15,37.3,0.858,"NOT DOME"
"83",83,83,"12/24/16","Randy Bullock\BullRa00",43,"Y","N","Away",0.889,37,6,32.67,0.814,"NOT DOME"
"84",84,84,"12/24/16","Dan Carpenter\CarpDa44",46,"N","N","Home",0.76,37,8,36.16,0.84,"NOT DOME"
"85",85,85,"12/24/16","Ryan Succop\SuccRy44",42,"Y","N","Away",0.917,60,7,39.33,0.831,"NOT DOME"
"86",86,86,"12/24/16","Graham Gano\GanoGr44",31,"Y","N","Home",0.789,65,7,40.61,0.8,"NOT DOME"
"87",87,87,"12/24/16","Stephen Gostkowski\GostSt20",29,"Y","N","Home",0.844,35,10,37.16,0.871,"NOT DOME"
"88",88,88,"12/24/16","Matt Bryant\bryanmat01",51,"Y","N","Away",0.919,72,15,37.3,0.858,"NOT DOME"
"89",89,89,"12/24/16","Chandler Catanzaro\CataCh00",42,"Y","N","Away",0.75,72,2,39.07,0.851,"NOT DOME"
"90",90,90,"12/24/16","Kai Forbath\ForbKa00",22,"Y","N","Away",1,48,5,34.33,0.87,"NOT DOME"
"91",91,91,"12/24/16","Wil Lutz\LutzWi00",42,"Y","N","Home",0.824,65,0,37.53,0.842,"NOT DOME"
"92",92,92,"12/24/16","Jason Myers\MyerJa00",48,"Y","N","Home",0.794,65,1,42.82,0.824,"NOT DOME"
"93",93,93,"12/24/16","Dan Carpenter\CarpDa44",45,"N","N","Home",0.76,65,8,36.16,0.84,"NOT DOME"
"94",94,94,"12/24/16","Nick Folk\FolkNi20",34,"N","N","Away",0.871,65,9,33.97,0.813,"NOT DOME"
"95",95,95,"12/24/16","Josh Lambo\LambJo00",43,"Y","N","Away",0.813,60,1,36.38,0.813,"NOT DOME"
"96",96,96,"12/24/16","Andrew Franks\FranAn01",55,"Y","N","Away",0.762,60,1,32.86,0.784,"NOT DOME"
"97",97,97,"12/24/16","Connor Barth\barthco01",22,"N","Y","Home",0.783,60,7,35.35,0.84,"NOT DOME"
"98",98,98,"12/24/16","Matt Bryant\bryanmat01",30,"N","Y","Away",0.919,35,15,37.3,0.858,"NOT DOME"
"99",99,99,"12/24/16","Wil Lutz\LutzWi00",21,"Y","N","Home",0.824,35,0,37.53,0.842,"NOT DOME"
"100",100,100,"12/24/16","Graham Gano\GanoGr44",40,"Y","N","Home",0.789,35,7,40.61,0.8,"NOT DOME"
"101",101,101,"12/24/16","Nick Novak\novaknic01",22,"Y","N","Home",0.854,35,9,36.78,0.828,"NOT DOME"
"102",102,102,"12/24/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,35,2,36.9,0.845,"NOT DOME"
"103",103,103,"12/24/16","Steven Hauschka\HausSt00",27,"Y","N","Home",0.892,65,9,34.14,0.868,"DOME"
"104",104,104,"12/24/16","Chandler Catanzaro\CataCh00",53,"N","N","Away",0.75,65,2,39.07,0.851,"DOME"
"105",105,105,"12/24/16","Jason Myers\MyerJa00",50,"Y","N","Home",0.794,65,1,42.82,0.824,"DOME"
"106",106,106,"12/24/16","Mason Crosby\CrosMa20",48,"Y","N","Home",0.867,40,9,35.4,0.804,"NOT DOME"
"107",107,107,"12/24/16","Cody Parkey\ParkCo03",27,"Y","N","Home",0.8,40,2,37.6,0.846,"NOT DOME"
"108",108,108,"12/24/16","Josh Lambo\LambJo00",45,"N","N","Away",0.813,41,1,36.38,0.813,"NOT DOME"
"109",109,109,"12/24/16","Matt Bryant\bryanmat01",50,"Y","N","Away",0.919,41,15,37.3,0.858,"NOT DOME"
"110",110,110,"12/24/16","Jason Myers\MyerJa00",29,"Y","N","Home",0.794,41,1,42.82,0.824,"NOT DOME"
"111",111,111,"12/24/16","Randy Bullock\BullRa00",43,"N","N","Away",0.889,41,6,32.67,0.814,"NOT DOME"
"112",112,112,"12/24/16","Dan Carpenter\CarpDa44",28,"Y","N","Home",0.76,40,8,36.16,0.84,"NOT DOME"
"113",113,113,"12/24/16","Roberto Aguayo\AguaRo00",35,"Y","N","Away",0.71,40,0,36.68,0.713,"NOT DOME"
"114",114,114,"12/24/16","Stephen Gostkowski\GostSt20",22,"Y","N","Home",0.844,41,10,37.16,0.871,"NOT DOME"
"115",115,115,"12/24/16","Andrew Franks\FranAn01",46,"N","N","Away",0.762,39,1,32.86,0.784,"NOT DOME"
"116",116,116,"12/24/16","Matt Bryant\bryanmat01",48,"Y","N","Away",0.919,37,15,37.3,0.858,"NOT DOME"
"117",117,117,"12/24/16","Chandler Catanzaro\CataCh00",43,"Y","N","Away",0.75,37,2,39.07,0.851,"NOT DOME"
"118",118,118,"12/24/16","Kai Forbath\ForbKa00",26,"Y","N","Away",1,37,5,34.33,0.87,"NOT DOME"
"119",119,119,"12/24/16","Wil Lutz\LutzWi00",34,"Y","N","Home",0.824,39,0,37.53,0.842,"NOT DOME"
"120",120,120,"12/22/16","Robbie Gould\gouldrob01",35,"Y","N","Away",1,39,11,36.3,0.859,"NOT DOME"
