"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"212",212,212,"12/11/16","Cody Parkey\ParkCo03",30,"Y","N","Home",0.8,27,2,37.6,0.846,"NOT DOME"
"213",213,213,"12/11/16","Graham Gano\GanoGr44",23,"Y","N","Home",0.789,28,7,40.61,0.8,"NOT DOME"
"214",214,214,"12/11/16","Josh Lambo\LambJo00",32,"Y","N","Away",0.813,42,1,36.38,0.813,"NOT DOME"
"215",215,215,"12/11/16","Andrew Franks\FranAn01",21,"Y","N","Home",0.762,42,1,32.86,0.784,"NOT DOME"
"216",216,216,"12/11/16","Nick Novak\novaknic01",41,"Y","N","Away",0.854,75,9,36.78,0.828,"NOT DOME"
"217",217,217,"12/11/16","Caleb Sturgis\SturCa00",45,"Y","N","Home",0.854,65,3,37.63,0.81,"DOME"
"218",218,218,"12/11/16","Jason Myers\MyerJa00",41,"N","N","Home",0.794,33,1,42.82,0.824,"NOT DOME"
"219",219,219,"12/11/16","Mike Nugent\nugenmik01",44,"Y","N","Away",0.793,66,12,35.17,0.808,"NOT DOME"
"220",220,220,"12/11/16","Phil Dawson\dawsophi01",47,"Y","N","Home",0.857,28,18,40.33,0.844,"NOT DOME"
"221",221,221,"12/11/16","Nick Folk\FolkNi20",36,"Y","N","Away",0.871,53,9,33.97,0.813,"NOT DOME"
"222",222,222,"12/11/16","Roberto Aguayo\AguaRo00",39,"Y","N","Home",0.71,53,0,36.68,0.713,"NOT DOME"
"223",223,223,"12/11/16","Ryan Succop\SuccRy44",41,"Y","N","Home",0.917,75,7,39.33,0.831,"NOT DOME"
"224",224,224,"12/11/16","Nick Novak\novaknic01",21,"Y","N","Away",0.854,48,9,36.78,0.828,"NOT DOME"
"225",225,225,"12/11/16","Chandler Catanzaro\CataCh00",56,"Y","N","Away",0.75,65,2,39.07,0.851,"DOME"
"226",226,226,"12/11/16","Kai Forbath\ForbKa00",46,"Y","N","Away",1,66,5,34.33,0.87,"NOT DOME"
"227",227,227,"12/11/16","Jason Myers\MyerJa00",45,"Y","N","Home",0.794,66,1,42.82,0.824,"NOT DOME"
"228",228,228,"12/11/16","Matt Prater\PratMa20",54,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"229",229,229,"12/11/16","Wil Lutz\LutzWi00",22,"Y","N","Away",0.824,75,0,37.53,0.842,"NOT DOME"
"230",230,230,"12/11/16","Graham Gano\GanoGr44",41,"Y","N","Home",0.789,42,7,40.61,0.8,"NOT DOME"
"231",231,231,"12/11/16","Brandon McManus\McMaBr01",34,"Y","N","Away",0.853,48,2,37.88,0.821,"NOT DOME"
"232",232,232,"12/11/16","Adam Vinatieri\vinatada01",32,"Y","N","Home",0.871,65,20,43.16,0.842,"DOME"
"233",233,233,"12/11/16","Dustin Hopkins\HopkDu00",38,"N","N","Away",0.81,33,2,36.9,0.845,"NOT DOME"
"234",234,234,"12/11/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,33,3,37.63,0.81,"NOT DOME"
"235",235,235,"12/11/16","Kai Forbath\ForbKa00",43,"Y","N","Away",1,66,5,34.33,0.87,"NOT DOME"
"236",236,236,"12/11/16","Nick Folk\FolkNi20",50,"Y","N","Away",0.871,53,9,33.97,0.813,"NOT DOME"
"237",237,237,"12/11/16","Mason Crosby\CrosMa20",51,"N","N","Home",0.867,28,9,35.4,0.804,"NOT DOME"
"238",238,238,"12/11/16","Graham Gano\GanoGr44",45,"Y","N","Home",0.789,42,7,40.61,0.8,"NOT DOME"
"239",239,239,"12/11/16","Nick Novak\novaknic01",24,"Y","N","Away",0.854,65,9,36.78,0.828,"DOME"
"240",240,240,"12/11/16","Connor Barth\barthco01",38,"Y","N","Away",0.783,65,7,35.35,0.84,"DOME"
"241",241,241,"12/11/16","Jason Myers\MyerJa00",24,"Y","N","Home",0.794,66,1,42.82,0.824,"NOT DOME"
"242",242,242,"12/11/16","Mike Nugent\nugenmik01",36,"N","N","Away",0.793,28,12,35.17,0.808,"NOT DOME"
"243",243,243,"12/11/16","Phil Dawson\dawsophi01",48,"N","N","Home",0.857,53,18,40.33,0.844,"NOT DOME"
"244",244,244,"12/11/16","Chris Boswell\BoswCh00",39,"Y","N","Away",0.84,24,1,40.64,0.877,"NOT DOME"
"245",245,245,"12/11/16","Roberto Aguayo\AguaRo00",41,"Y","N","Home",0.71,75,0,36.68,0.713,"NOT DOME"
"246",246,246,"12/11/16","Ryan Succop\SuccRy44",53,"Y","N","Home",0.917,48,7,39.33,0.831,"NOT DOME"
"247",247,247,"12/11/16","Steven Hauschka\HausSt00",28,"Y","N","Away",0.892,27,9,34.14,0.868,"NOT DOME"
"248",248,248,"12/11/16","Chandler Catanzaro\CataCh00",41,"N","N","Away",0.75,75,2,39.07,0.851,"NOT DOME"
"249",249,249,"12/11/16","Kai Forbath\ForbKa00",40,"Y","N","Away",1,66,5,34.33,0.87,"NOT DOME"
"250",250,250,"12/11/16","Matt Prater\PratMa20",29,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"251",251,251,"12/11/16","Dan Bailey\BailDa00",55,"N","N","Away",0.844,30,5,38.41,0.897,"NOT DOME"
"252",252,252,"12/11/16","Wil Lutz\LutzWi00",34,"Y","N","Away",0.824,57,0,37.53,0.842,"NOT DOME"
"253",253,253,"12/11/16","Nick Novak\novaknic01",34,"Y","N","Away",0.854,65,9,36.78,0.828,"DOME"
"254",254,254,"12/11/16","Caleb Sturgis\SturCa00",36,"Y","N","Home",0.854,33,3,37.63,0.81,"NOT DOME"
"255",255,255,"12/11/16","Jason Myers\MyerJa00",61,"N","Y","Home",0.794,66,1,42.82,0.824,"NOT DOME"
"256",256,256,"12/11/16","Nick Folk\FolkNi20",30,"Y","N","Away",0.871,53,9,33.97,0.813,"NOT DOME"
"257",257,257,"12/11/16","Roberto Aguayo\AguaRo00",26,"Y","N","Home",0.71,75,0,36.68,0.713,"NOT DOME"
"258",258,258,"12/8/16","Sebastian Janikowski\janikseb01",33,"Y","N","Away",0.829,23,16,38.54,0.804,"NOT DOME"
"259",259,259,"12/8/16","Sebastian Janikowski\janikseb01",44,"Y","N","Away",0.829,23,16,38.54,0.804,"NOT DOME"
"260",260,260,"12/5/16","Adam Vinatieri\vinatada01",53,"Y","N","Away",0.871,43,20,43.16,0.842,"NOT DOME"
"261",261,261,"12/5/16","Nick Folk\FolkNi20",38,"Y","N","Home",0.871,43,9,33.97,0.813,"NOT DOME"
"262",262,262,"12/5/16","Adam Vinatieri\vinatada01",36,"Y","N","Away",0.871,43,20,43.16,0.842,"NOT DOME"
"263",263,263,"12/4/16","Connor Barth\barthco01",45,"Y","N","Home",0.783,35,7,35.35,0.84,"NOT DOME"
"264",264,264,"12/4/16","Mike Nugent\nugenmik01",38,"Y","N","Home",0.793,41,12,35.17,0.808,"NOT DOME"
"265",265,265,"12/4/16","Roberto Aguayo\AguaRo00",35,"Y","N","Away",0.71,71,0,36.68,0.713,"NOT DOME"
"266",266,266,"12/4/16","Sebastian Janikowski\janikseb01",47,"Y","N","Home",0.829,55,16,38.54,0.804,"NOT DOME"
"267",267,267,"12/4/16","Stephen Gostkowski\GostSt20",45,"Y","N","Home",0.844,37,10,37.16,0.871,"NOT DOME"
"268",268,268,"12/4/16","Matt Bryant\bryanmat01",22,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"269",269,269,"12/4/16","Steven Hauschka\HausSt00",28,"Y","N","Home",0.892,41,9,34.14,0.868,"NOT DOME"
"270",270,270,"12/4/16","Chandler Catanzaro\CataCh00",53,"N","N","Home",0.75,65,2,39.07,0.851,"DOME"
"271",271,271,"12/4/16","Matt Prater\PratMa20",52,"Y","N","Away",0.861,65,10,40.17,0.831,"DOME"
"272",272,272,"12/4/16","Mike Nugent\nugenmik01",32,"Y","N","Home",0.793,41,12,35.17,0.808,"NOT DOME"
"273",273,273,"12/4/16","Justin Tucker\TuckJu00",55,"Y","N","Home",0.974,45,4,41.95,0.899,"NOT DOME"
"274",274,274,"12/4/16","Randy Bullock\BullRa00",44,"Y","N","Home",0.889,40,6,32.67,0.814,"NOT DOME"
"275",275,275,"12/4/16","Brandon McManus\McMaBr01",32,"Y","N","Away",0.853,75,2,37.88,0.821,"NOT DOME"
"276",276,276,"12/4/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,65,2,36.9,0.845,"DOME"
"277",277,277,"12/4/16","Steven Hauschka\HausSt00",23,"Y","N","Home",0.892,41,9,34.14,0.868,"NOT DOME"
"278",278,278,"12/4/16","Matt Prater\PratMa20",29,"Y","N","Away",0.861,65,10,40.17,0.831,"DOME"
"279",279,279,"12/4/16","Dan Carpenter\CarpDa44",27,"Y","N","Away",0.76,55,8,36.16,0.84,"NOT DOME"
"280",280,280,"12/4/16","Matt Bryant\bryanmat01",59,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"281",281,281,"12/4/16","Mike Nugent\nugenmik01",26,"Y","N","Home",0.793,41,12,35.17,0.808,"NOT DOME"
"282",282,282,"12/4/16","Phil Dawson\dawsophi01",28,"Y","N","Away",0.857,35,18,40.33,0.844,"NOT DOME"
"283",283,283,"12/4/16","Randy Bullock\BullRa00",38,"Y","N","Home",0.889,40,6,32.67,0.814,"NOT DOME"
"284",284,284,"12/4/16","Roberto Aguayo\AguaRo00",27,"Y","N","Away",0.71,71,0,36.68,0.713,"NOT DOME"
"285",285,285,"12/4/16","Sebastian Janikowski\janikseb01",41,"Y","N","Home",0.829,55,16,38.54,0.804,"NOT DOME"
"286",286,286,"12/4/16","Stephen Gostkowski\GostSt20",48,"Y","N","Home",0.844,37,10,37.16,0.871,"NOT DOME"
"287",287,287,"12/4/16","Steven Hauschka\HausSt00",31,"Y","N","Home",0.892,41,9,34.14,0.868,"NOT DOME"
"288",288,288,"12/4/16","Chandler Catanzaro\CataCh00",28,"Y","N","Home",0.75,65,2,39.07,0.851,"DOME"
"289",289,289,"12/4/16","Matt Prater\PratMa20",27,"Y","N","Away",0.861,65,10,40.17,0.831,"DOME"
"290",290,290,"12/4/16","Wil Lutz\LutzWi00",32,"Y","N","Home",0.824,65,0,37.53,0.842,"DOME"
"291",291,291,"12/4/16","Josh Lambo\LambJo00",53,"N","N","Home",0.813,71,1,36.38,0.813,"NOT DOME"
"292",292,292,"12/4/16","Andrew Franks\FranAn01",46,"N","N","Away",0.762,45,1,32.86,0.784,"NOT DOME"
"293",293,293,"12/4/16","Dustin Hopkins\HopkDu00",47,"Y","N","Away",0.81,65,2,36.9,0.845,"DOME"
"294",294,294,"12/4/16","Caleb Sturgis\SturCa00",51,"N","N","Away",0.854,41,3,37.63,0.81,"NOT DOME"
"295",295,295,"12/4/16","Matt Prater\PratMa20",27,"Y","N","Away",0.861,65,10,40.17,0.831,"DOME"
"296",296,296,"12/4/16","Stephen Gostkowski\GostSt20",45,"Y","N","Home",0.844,37,10,37.16,0.871,"NOT DOME"
"297",297,297,"12/4/16","Greg Zuerlein\ZuerGr00",44,"Y","N","Away",0.864,37,4,38.68,0.799,"NOT DOME"
"298",298,298,"12/4/16","Matt Bryant\bryanmat01",22,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"299",299,299,"12/4/16","Jason Myers\MyerJa00",47,"Y","N","Home",0.794,75,1,42.82,0.824,"NOT DOME"
"300",300,300,"12/4/16","Mike Nugent\nugenmik01",33,"Y","N","Home",0.793,41,12,35.17,0.808,"NOT DOME"
"301",301,301,"12/4/16","Phil Dawson\dawsophi01",31,"Y","N","Away",0.857,35,18,40.33,0.844,"NOT DOME"
"302",302,302,"12/4/16","Randy Bullock\BullRa00",34,"Y","N","Home",0.889,40,6,32.67,0.814,"NOT DOME"
"303",303,303,"12/4/16","Roberto Aguayo\AguaRo00",31,"N","N","Away",0.71,71,0,36.68,0.713,"NOT DOME"
"304",304,304,"12/4/16","Sebastian Janikowski\janikseb01",47,"Y","N","Home",0.829,55,16,38.54,0.804,"NOT DOME"
"305",305,305,"12/4/16","Stephen Gostkowski\GostSt20",28,"Y","N","Home",0.844,37,10,37.16,0.871,"NOT DOME"
"306",306,306,"12/4/16","Brandon McManus\McMaBr01",41,"Y","N","Away",0.853,75,2,37.88,0.821,"NOT DOME"
"307",307,307,"12/4/16","Dustin Hopkins\HopkDu00",53,"Y","N","Away",0.81,65,2,36.9,0.845,"DOME"
"308",308,308,"12/4/16","Steven Hauschka\HausSt00",37,"Y","N","Home",0.892,41,9,34.14,0.868,"NOT DOME"
"309",309,309,"12/4/16","Matt Prater\PratMa20",32,"Y","N","Away",0.861,65,10,40.17,0.831,"DOME"
"310",310,310,"12/4/16","Wil Lutz\LutzWi00",40,"Y","N","Home",0.824,65,0,37.53,0.842,"DOME"
"311",311,311,"12/1/16","Dan Bailey\BailDa00",39,"Y","N","Away",0.844,65,5,38.41,0.897,"DOME"
"312",312,312,"12/1/16","Kai Forbath\ForbKa00",36,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"313",313,313,"12/1/16","Kai Forbath\ForbKa00",48,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"314",314,314,"12/1/16","Kai Forbath\ForbKa00",33,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"315",315,315,"11/28/16","Caleb Sturgis\SturCa00",50,"Y","N","Home",0.854,47,3,37.63,0.81,"NOT DOME"
"316",316,316,"11/28/16","Mason Crosby\CrosMa20",33,"Y","N","Away",0.867,65,9,35.4,0.804,"DOME"
"317",317,317,"11/28/16","Caleb Sturgis\SturCa00",48,"Y","N","Home",0.854,47,3,37.63,0.81,"NOT DOME"
"318",318,318,"11/28/16","Mason Crosby\CrosMa20",32,"Y","N","Away",0.867,47,9,35.4,0.804,"NOT DOME"
"319",319,319,"11/27/16","Cairo Santos\SantCa01",37,"Y","N","Away",0.886,47,2,35.63,0.843,"NOT DOME"
"320",320,320,"11/27/16","Josh Lambo\LambJo00",54,"N","N","Away",0.813,44,1,36.38,0.813,"NOT DOME"
"321",321,321,"11/27/16","Stephen Gostkowski\GostSt20",39,"N","N","Away",0.844,67,10,37.16,0.871,"NOT DOME"
"322",322,322,"11/27/16","Brandon McManus\McMaBr01",44,"Y","N","Home",0.853,48,2,37.88,0.821,"NOT DOME"
"323",323,323,"11/27/16","Andrew Franks\FranAn01",24,"Y","N","Home",0.762,44,1,32.86,0.784,"NOT DOME"
"324",324,324,"11/27/16","Nick Folk\FolkNi20",54,"N","Y","Home",0.871,79,9,33.97,0.813,"NOT DOME"
"325",325,325,"11/27/16","Ryan Succop\SuccRy44",31,"Y","N","Away",0.917,48,7,39.33,0.831,"NOT DOME"
"326",326,326,"11/27/16","Nick Novak\novaknic01",19,"Y","N","Home",0.854,38,9,36.78,0.828,"NOT DOME"
"327",327,327,"11/27/16","Phil Dawson\dawsophi01",36,"Y","N","Away",0.857,67,18,40.33,0.844,"NOT DOME"
"328",328,328,"11/27/16","Roberto Aguayo\AguaRo00",48,"N","N","Home",0.71,79,0,36.68,0.713,"NOT DOME"
"329",329,329,"11/27/16","Sebastian Janikowski\janikseb01",23,"Y","N","Home",0.829,78,16,38.54,0.804,"NOT DOME"
"330",330,330,"11/27/16","Stephen Gostkowski\GostSt20",41,"Y","N","Away",0.844,56,10,37.16,0.871,"NOT DOME"
"331",331,331,"11/27/16","Chandler Catanzaro\CataCh00",25,"Y","N","Away",0.75,48,2,39.07,0.851,"NOT DOME"
"332",332,332,"11/27/16","Justin Tucker\TuckJu00",57,"Y","N","Home",0.974,49,4,41.95,0.899,"NOT DOME"
"333",333,333,"11/27/16","Stephen Gostkowski\GostSt20",28,"Y","N","Away",0.844,48,10,37.16,0.871,"NOT DOME"
"334",334,334,"11/27/16","Brandon McManus\McMaBr01",33,"Y","N","Home",0.853,44,2,37.88,0.821,"NOT DOME"
"335",335,335,"11/27/16","Nick Folk\FolkNi20",51,"Y","N","Home",0.871,48,9,33.97,0.813,"NOT DOME"
"336",336,336,"11/27/16","Ryan Succop\SuccRy44",19,"Y","N","Away",0.917,38,7,39.33,0.831,"NOT DOME"
"337",337,337,"11/27/16","Matt Bryant\bryanmat01",45,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"338",338,338,"11/27/16","Mike Nugent\nugenmik01",36,"Y","N","Away",0.793,49,12,35.17,0.808,"NOT DOME"
"339",339,339,"11/27/16","Justin Tucker\TuckJu00",36,"Y","N","Home",0.974,49,4,41.95,0.899,"NOT DOME"
"340",340,340,"11/27/16","Cody Parkey\ParkCo03",25,"Y","N","Home",0.8,46,2,37.6,0.846,"NOT DOME"
"341",341,341,"11/27/16","Cairo Santos\SantCa01",34,"Y","N","Away",0.886,44,2,35.63,0.843,"NOT DOME"
"342",342,342,"11/27/16","Sebastian Janikowski\janikseb01",23,"Y","N","Home",0.829,56,16,38.54,0.804,"NOT DOME"
"343",343,343,"11/27/16","Stephen Gostkowski\GostSt20",29,"Y","N","Away",0.844,48,10,37.16,0.871,"NOT DOME"
"344",344,344,"11/27/16","Brandon McManus\McMaBr01",62,"N","N","Home",0.853,44,2,37.88,0.821,"NOT DOME"
"345",345,345,"11/27/16","Steven Hauschka\HausSt00",43,"Y","N","Away",0.892,78,9,34.14,0.868,"NOT DOME"
"346",346,346,"11/27/16","Justin Tucker\TuckJu00",52,"Y","N","Home",0.974,49,4,41.95,0.899,"NOT DOME"
"347",347,347,"11/27/16","Nick Novak\novaknic01",45,"Y","N","Home",0.854,67,9,36.78,0.828,"NOT DOME"
"348",348,348,"11/27/16","Chandler Catanzaro\CataCh00",54,"Y","N","Away",0.75,65,2,39.07,0.851,"DOME"
"349",349,349,"11/27/16","Mike Nugent\nugenmik01",23,"Y","N","Away",0.793,49,12,35.17,0.808,"NOT DOME"
"350",350,350,"11/27/16","Justin Tucker\TuckJu00",54,"Y","N","Home",0.974,49,4,41.95,0.899,"NOT DOME"
"351",351,351,"11/27/16","Cody Parkey\ParkCo03",20,"Y","N","Home",0.8,46,2,37.6,0.846,"NOT DOME"
"352",352,352,"11/24/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,69,2,36.9,0.845,"NOT DOME"
"353",353,353,"11/24/16","Kai Forbath\ForbKa00",28,"Y","N","Away",1,65,5,34.33,0.87,"DOME"
"354",354,354,"11/24/16","Matt Prater\PratMa20",40,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"355",355,355,"11/24/16","Dustin Hopkins\HopkDu00",43,"N","N","Away",0.81,69,2,36.9,0.845,"NOT DOME"
"356",356,356,"11/24/16","Dustin Hopkins\HopkDu00",55,"N","N","Away",0.81,69,2,36.9,0.845,"NOT DOME"
"357",357,357,"11/24/16","Kai Forbath\ForbKa00",30,"Y","N","Away",1,65,5,34.33,0.87,"DOME"
"358",358,358,"11/24/16","Matt Prater\PratMa20",48,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"359",359,359,"11/24/16","Dan Bailey\BailDa00",46,"Y","N","Home",0.844,69,5,38.41,0.897,"NOT DOME"
"360",360,360,"11/24/16","Adam Vinatieri\vinatada01",52,"N","N","Home",0.871,65,20,43.16,0.842,"DOME"
"361",361,361,"11/24/16","Dustin Hopkins\HopkDu00",24,"Y","N","Away",0.81,69,2,36.9,0.845,"NOT DOME"
"362",362,362,"11/24/16","Matt Prater\PratMa20",29,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"363",363,363,"11/21/16","Sebastian Janikowski\janikseb01",20,"Y","N","Home",0.829,62,16,38.54,0.804,"NOT DOME"
"364",364,364,"11/21/16","Sebastian Janikowski\janikseb01",19,"Y","N","Home",0.829,62,16,38.54,0.804,"NOT DOME"
"365",365,365,"11/21/16","Nick Novak\novaknic01",28,"Y","N","Away",0.854,62,9,36.78,0.828,"NOT DOME"
"366",366,366,"11/21/16","Nick Novak\novaknic01",32,"Y","N","Away",0.854,62,9,36.78,0.828,"NOT DOME"
"367",367,367,"11/20/16","Adam Vinatieri\vinatada01",49,"Y","N","Home",0.871,65,20,43.16,0.842,"DOME"
"368",368,368,"11/20/16","Steven Hauschka\HausSt00",44,"N","N","Home",0.892,51,9,34.14,0.868,"NOT DOME"
"369",369,369,"11/20/16","Justin Tucker\TuckJu00",46,"Y","N","Away",0.974,53,4,41.95,0.899,"NOT DOME"
"370",370,370,"11/20/16","Dan Carpenter\CarpDa44",54,"Y","N","Away",0.76,37,8,36.16,0.84,"NOT DOME"
"371",371,371,"11/20/16","Mason Crosby\CrosMa20",36,"Y","N","Away",0.867,38,9,35.4,0.804,"NOT DOME"
"372",372,372,"11/20/16","Greg Zuerlein\ZuerGr00",48,"N","N","Home",0.864,63,4,38.68,0.799,"NOT DOME"
"373",373,373,"11/20/16","Matt Prater\PratMa20",43,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"374",374,374,"11/20/16","Jason Myers\MyerJa00",52,"Y","N","Away",0.794,65,1,42.82,0.824,"DOME"
"375",375,375,"11/20/16","Chris Boswell\BoswCh00",32,"Y","N","Away",0.84,35,1,40.64,0.877,"NOT DOME"
"376",376,376,"11/20/16","Dan Bailey\BailDa00",30,"Y","N","Home",0.844,53,5,38.41,0.897,"NOT DOME"
"377",377,377,"11/20/16","Roberto Aguayo\AguaRo00",22,"Y","N","Away",0.71,43,0,36.68,0.713,"NOT DOME"
"378",378,378,"11/20/16","Cody Parkey\ParkCo03",24,"Y","N","Home",0.8,35,2,37.6,0.846,"NOT DOME"
"379",379,379,"11/20/16","Cairo Santos\SantCa01",22,"Y","N","Home",0.886,43,2,35.63,0.843,"NOT DOME"
"380",380,380,"11/20/16","Adam Vinatieri\vinatada01",42,"N","N","Home",0.871,65,20,43.16,0.842,"DOME"
"381",381,381,"11/20/16","Connor Barth\barthco01",51,"N","N","Away",0.783,40,7,35.35,0.84,"NOT DOME"
"382",382,382,"11/20/16","Steven Hauschka\HausSt00",35,"Y","N","Home",0.892,51,9,34.14,0.868,"NOT DOME"
"383",383,383,"11/20/16","Dan Carpenter\CarpDa44",26,"Y","N","Away",0.76,37,8,36.16,0.84,"NOT DOME"
"384",384,384,"11/20/16","Dustin Hopkins\HopkDu00",37,"Y","N","Home",0.81,38,2,36.9,0.845,"NOT DOME"
"385",385,385,"11/20/16","Greg Zuerlein\ZuerGr00",46,"Y","N","Home",0.864,63,4,38.68,0.799,"NOT DOME"
"386",386,386,"11/20/16","Robbie Gould\gouldrob01",46,"Y","N","Home",1,49,11,36.3,0.859,"NOT DOME"
"387",387,387,"11/20/16","Matt Prater\PratMa20",27,"Y","N","Home",0.861,40,10,40.17,0.831,"NOT DOME"
"388",388,388,"11/20/16","Jason Myers\MyerJa00",27,"Y","N","Away",0.794,65,1,42.82,0.824,"DOME"
"389",389,389,"11/20/16","Phil Dawson\dawsophi01",33,"Y","N","Home",0.857,61,18,40.33,0.844,"NOT DOME"
"390",390,390,"11/20/16","Chris Boswell\BoswCh00",22,"Y","N","Away",0.84,35,1,40.64,0.877,"NOT DOME"
"391",391,391,"11/20/16","Roberto Aguayo\AguaRo00",36,"Y","N","Away",0.71,43,0,36.68,0.713,"NOT DOME"
"392",392,392,"11/20/16","Chandler Catanzaro\CataCh00",34,"Y","N","Away",0.75,65,2,39.07,0.851,"DOME"
"393",393,393,"11/20/16","Dan Carpenter\CarpDa44",20,"Y","N","Away",0.76,37,8,36.16,0.84,"NOT DOME"
"394",394,394,"11/20/16","Roberto Aguayo\AguaRo00",31,"Y","N","Away",0.71,43,0,36.68,0.713,"NOT DOME"
"395",395,395,"11/20/16","Mason Crosby\CrosMa20",36,"N","N","Away",0.867,38,9,35.4,0.804,"NOT DOME"
"396",396,396,"11/20/16","Stephen Gostkowski\GostSt20",38,"Y","N","Away",0.844,61,10,37.16,0.871,"NOT DOME"
"397",397,397,"11/20/16","Connor Barth\barthco01",40,"Y","N","Away",0.783,40,7,35.35,0.84,"NOT DOME"
"398",398,398,"11/20/16","Steven Hauschka\HausSt00",21,"Y","N","Home",0.892,51,9,34.14,0.868,"NOT DOME"
"399",399,399,"11/20/16","Kai Forbath\ForbKa00",27,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"400",400,400,"11/20/16","Ryan Succop\SuccRy44",47,"Y","N","Away",0.917,65,7,39.33,0.831,"DOME"
"401",401,401,"11/20/16","Chris Boswell\BoswCh00",33,"Y","N","Away",0.84,35,1,40.64,0.877,"NOT DOME"
"402",402,402,"11/20/16","Dan Bailey\BailDa00",21,"Y","N","Home",0.844,53,5,38.41,0.897,"NOT DOME"
"403",403,403,"11/20/16","Roberto Aguayo\AguaRo00",41,"Y","N","Away",0.71,43,0,36.68,0.713,"NOT DOME"
"404",404,404,"11/17/16","Wil Lutz\LutzWi00",27,"Y","N","Away",0.824,57,0,37.53,0.842,"NOT DOME"
"405",405,405,"11/17/16","Graham Gano\GanoGr44",49,"Y","N","Home",0.789,57,7,40.61,0.8,"NOT DOME"
"406",406,406,"11/17/16","Wil Lutz\LutzWi00",30,"Y","N","Away",0.824,57,0,37.53,0.842,"NOT DOME"
"407",407,407,"11/17/16","Graham Gano\GanoGr44",32,"Y","N","Home",0.789,57,7,40.61,0.8,"NOT DOME"
"408",408,408,"11/17/16","Wil Lutz\LutzWi00",38,"N","Y","Away",0.824,57,0,37.53,0.842,"NOT DOME"
"409",409,409,"11/17/16","Graham Gano\GanoGr44",42,"Y","N","Home",0.789,57,7,40.61,0.8,"NOT DOME"
"410",410,410,"11/14/16","Mike Nugent\nugenmik01",38,"Y","N","Away",0.793,54,12,35.17,0.808,"NOT DOME"
"411",411,411,"11/14/16","Mike Nugent\nugenmik01",25,"Y","N","Away",0.793,54,12,35.17,0.808,"NOT DOME"
"412",412,412,"11/13/16","Nick Novak\novaknic01",49,"N","N","Away",0.854,71,9,36.78,0.828,"NOT DOME"
"413",413,413,"11/13/16","Dustin Hopkins\HopkDu00",30,"Y","N","Home",0.81,55,2,36.9,0.845,"NOT DOME"
"414",414,414,"11/13/16","Matt Bryant\bryanmat01",38,"Y","N","Away",0.919,54,15,37.3,0.858,"NOT DOME"
"415",415,415,"11/13/16","Chandler Catanzaro\CataCh00",34,"Y","N","Home",0.75,65,2,39.07,0.851,"DOME"
"416",416,416,"11/13/16","Chris Boswell\BoswCh00",55,"N","N","Home",0.84,54,1,40.64,0.877,"NOT DOME"
"417",417,417,"11/13/16","Dan Bailey\BailDa00",53,"Y","N","Away",0.844,54,5,38.41,0.897,"NOT DOME"
"418",418,418,"11/13/16","Roberto Aguayo\AguaRo00",27,"Y","N","Home",0.71,77,0,36.68,0.713,"NOT DOME"
"419",419,419,"11/13/16","Stephen Gostkowski\GostSt20",30,"Y","N","Home",0.844,45,10,37.16,0.871,"NOT DOME"
"420",420,420,"11/13/16","Brandon McManus\McMaBr01",28,"Y","N","Away",0.853,65,2,37.88,0.821,"DOME"
"421",421,421,"11/13/16","Connor Barth\barthco01",54,"Y","N","Away",0.783,77,7,35.35,0.84,"NOT DOME"
"422",422,422,"11/13/16","Steven Hauschka\HausSt00",23,"Y","N","Away",0.892,45,9,34.14,0.868,"NOT DOME"
"423",423,423,"11/13/16","Caleb Sturgis\SturCa00",55,"N","N","Home",0.854,54,3,37.63,0.81,"NOT DOME"
"424",424,424,"11/13/16","Cairo Santos\SantCa01",33,"Y","N","Away",0.886,48,2,35.63,0.843,"NOT DOME"
"425",425,425,"11/13/16","Ryan Succop\SuccRy44",23,"Y","N","Home",0.917,55,7,39.33,0.831,"NOT DOME"
"426",426,426,"11/13/16","Nick Novak\novaknic01",51,"Y","N","Away",0.854,71,9,36.78,0.828,"NOT DOME"
"427",427,427,"11/13/16","Dustin Hopkins\HopkDu00",50,"Y","N","Home",0.81,55,2,36.9,0.845,"NOT DOME"
