"","ID","H/A","Name","FG Dist.","Good","Blk.","Avg. Dist.","Sea. Avg."
"77",77,"","Jason Myers\MyerJa00",56,"Y","N",42.82,"79.4%"
"78",78,"@","Nick Folk\FolkNi20",29,"Y","N",33.97,"87.1%"
"79",79,"","Cody Parkey\ParkCo03",49,"Y","N",37.6,"80.0%"
"80",80,"@","Josh Lambo\LambJo00",32,"N","Y",36.38,"81.3%"
"81",81,"@","Andrew Franks\FranAn01",27,"Y","N",32.86,"76.2%"
"82",82,"@","Matt Bryant\bryanmat01",29,"Y","N",37.3,"91.9%"
"83",83,"@","Randy Bullock\BullRa00",43,"Y","N",32.67,"88.9%"
"84",84,"","Dan Carpenter\CarpDa44",46,"N","N",36.16,"76.0%"
"85",85,"@","Ryan Succop\SuccRy44",42,"Y","N",39.33,"91.7%"
"86",86,"","Graham Gano\GanoGr44",31,"Y","N",40.61,"78.9%"
"87",87,"","Stephen Gostkowski\GostSt20",29,"Y","N",37.16,"84.4%"
"88",88,"@","Matt Bryant\bryanmat01",51,"Y","N",37.3,"91.9%"
"89",89,"@","Chandler Catanzaro\CataCh00",42,"Y","N",39.07,"75.0%"
"90",90,"@","Kai Forbath\ForbKa00",22,"Y","N",34.33,"100.0%"
"91",91,"","Wil Lutz\LutzWi00",42,"Y","N",37.53,"82.4%"
"92",92,"","Jason Myers\MyerJa00",48,"Y","N",42.82,"79.4%"
"93",93,"","Dan Carpenter\CarpDa44",45,"N","N",36.16,"76.0%"
"94",94,"@","Nick Folk\FolkNi20",34,"N","N",33.97,"87.1%"
"95",95,"@","Josh Lambo\LambJo00",43,"Y","N",36.38,"81.3%"
"96",96,"@","Andrew Franks\FranAn01",55,"Y","N",32.86,"76.2%"
"97",97,"","Connor Barth\barthco01",22,"N","Y",35.35,"78.3%"
"98",98,"@","Matt Bryant\bryanmat01",30,"N","Y",37.3,"91.9%"
"99",99,"","Wil Lutz\LutzWi00",21,"Y","N",37.53,"82.4%"
"100",100,"","Graham Gano\GanoGr44",40,"Y","N",40.61,"78.9%"
"101",101,"","Nick Novak\novaknic01",22,"Y","N",36.78,"85.4%"
"102",102,"@","Dustin Hopkins\HopkDu00",20,"Y","N",36.9,"81.0%"
