"","Month","Date","Team","HomeAway","Opponent","Score","Name","Distance","Made","Location","Dome","SeasonAvg","YearsExp","AverageDist","CareerAvg"
"43",4,"2017-01-01","ARI","Away","LAR","W 44-6","Chandler Catanzaro\CataCh00",32,"Y","LAR","Not Dome",0.75,2,39.07,0.851
"44",4,"2017-01-01","DET","Home","GNB","L 24-31","Matt Prater\PratMa20",54,"Y","DET","Dome",0.861,10,40.17,0.831
"45",4,"2017-01-01","JAX","Away","IND","L 20-24","Jason Myers\MyerJa00",54,"N","IND","Dome",0.794,1,42.82,0.824
"46",4,"2017-01-01","CAR","Away","TAM","L 16-17","Graham Gano\GanoGr44",58,"N","TAM","Not Dome",0.789,7,40.61,0.8
"47",4,"2017-01-01","IND","Home","JAX","W 24-20","Adam Vinatieri\vinatada01",48,"N","IND","Dome",0.871,20,43.16,0.842
"48",4,"2017-01-01","LAR","Home","ARI","L 6-44","Greg Zuerlein\ZuerGr00",36,"Y","LAR","Not Dome",0.864,4,38.68,0.799
"49",4,"2017-01-01","NYJ","Home","BUF","W 30-10","Nick Folk\FolkNi20",30,"Y","NYJ","Not Dome",0.871,9,33.97,0.813
"51",4,"2017-01-01","CAR","Away","TAM","L 16-17","Graham Gano\GanoGr44",36,"N","TAM","Not Dome",0.789,7,40.61,0.8
"52",4,"2017-01-01","NWE","Away","MIA","W 35-14","Stephen Gostkowski\GostSt20",52,"N","MIA","Not Dome",0.844,10,37.16,0.871
"53",4,"2017-01-01","ARI","Away","LAR","W 44-6","Chandler Catanzaro\CataCh00",47,"Y","LAR","Not Dome",0.75,2,39.07,0.851
"54",4,"2017-01-01","DAL","Away","PHI","L 13-27","Dan Bailey\BailDa00",23,"Y","PHI","Not Dome",0.844,5,38.41,0.897
"55",4,"2017-01-01","NOR","Away","ATL","L 32-38","Wil Lutz\LutzWi00",40,"Y","ATL","Dome",0.824,0,37.53,0.842
"56",4,"2017-01-01","KAN","Away","SDG","W 37-27","Cairo Santos\SantCa01",35,"Y","SDG","Not Dome",0.886,2,35.63,0.843
"57",4,"2016-12-26","DET","Away","DAL","L 21-42","Matt Prater\PratMa20",47,"N","DAL","Dome",0.861,10,40.17,0.831
"58",4,"2016-12-25","KAN","Home","DEN","W 33-10","Cairo Santos\SantCa01",39,"N","KAN","Not Dome",0.886,2,35.63,0.843
