"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"214",214,"12/11/16","SDG","CAR","L 16-28","Josh Lambo",32,"Y","N","Away",81,"",1,"",NA,NA,NA
"215",215,"12/11/16","MIA","ARI","W 26-23","Andrew Franks",21,"Y","N","Home",76,"",1,"",NA,NA,NA
"216",216,"12/11/16","HOU","IND","W 22-17","Nick Novak",41,"Y","N","Away",85,"",9,"",NA,NA,NA
"217",217,"12/11/16","PHI","WAS","L 22-27","Caleb Sturgis",45,"Y","N","Home",85,"",3,"",NA,NA,NA
"218",218,"12/11/16","JAX","MIN","L 16-25","Jason Myers",41,"N","N","Home",79,"",1,"",NA,NA,NA
"219",219,"12/11/16","CIN","CLE","W 23-10","Mike Nugent",44,"Y","N","Away",79,"",12,"",NA,NA,NA
"220",220,"12/11/16","SFO","NYJ","L 17-23","Phil Dawson",47,"Y","N","Home",86,"",18,"",NA,NA,NA
"221",221,"12/11/16","NYJ","SFO","W 23-17","Nick Folk",36,"Y","N","Away",87,"",9,"",NA,NA,NA
"222",222,"12/11/16","TAM","NOR","W 16-11","Roberto Aguayo",39,"Y","N","Home",71,"",0,"",NA,NA,NA
"223",223,"12/11/16","TEN","DEN","W 13-10","Ryan Succop",41,"Y","N","Home",92,"",7,"",NA,NA,NA
"224",224,"12/11/16","HOU","IND","W 22-17","Nick Novak",21,"Y","N","Away",85,"",9,"",NA,NA,NA
"225",225,"12/11/16","ARI","MIA","L 23-26","Chandler Catanzaro",56,"Y","N","Away",75,"",2,"",NA,NA,NA
"226",226,"12/11/16","MIN","JAX","W 25-16","Kai Forbath",46,"Y","N","Away",100,"",5,"",NA,NA,NA
"227",227,"12/11/16","JAX","MIN","L 16-25","Jason Myers",45,"Y","N","Home",79,"",1,"",NA,NA,NA
"228",228,"12/11/16","DET","CHI","W 20-17","Matt Prater",54,"Y","N","Home",86,"",10,"",NA,NA,NA
"229",229,"12/11/16","NOR","TAM","L 11-16","Wil Lutz",22,"Y","N","Away",82,"",0,"",NA,NA,NA
"230",230,"12/11/16","CAR","SDG","W 28-16","Graham Gano",41,"Y","N","Home",79,"",7,"",NA,NA,NA
"231",231,"12/11/16","DEN","TEN","L 10-13","Brandon McManus",34,"Y","N","Away",85,"",2,"",NA,NA,NA
"232",232,"12/11/16","IND","HOU","L 17-22","Adam Vinatieri",32,"Y","N","Home",87,"",20,"",NA,NA,NA
"233",233,"12/11/16","WAS","PHI","W 27-22","Dustin Hopkins",38,"N","N","Away",81,"",2,"",NA,NA,NA
"234",234,"12/11/16","PHI","WAS","L 22-27","Caleb Sturgis",41,"Y","N","Home",85,"",3,"",NA,NA,NA
"235",235,"12/11/16","MIN","JAX","W 25-16","Kai Forbath",43,"Y","N","Away",100,"",5,"",NA,NA,NA
"236",236,"12/11/16","NYJ","SFO","W 23-17","Nick Folk",50,"Y","N","Away",87,"",9,"",NA,NA,NA
"237",237,"12/11/16","GNB","SEA","W 38-10","Mason Crosby",51,"N","N","Home",87,"",9,"",NA,NA,NA
"238",238,"12/11/16","CAR","SDG","W 28-16","Graham Gano",45,"Y","N","Home",79,"",7,"",NA,NA,NA
"239",239,"12/11/16","HOU","IND","W 22-17","Nick Novak",24,"Y","N","Away",85,"",9,"",NA,NA,NA
"240",240,"12/11/16","CHI","DET","L 17-20","Connor Barth",38,"Y","N","Away",78,"",7,"",NA,NA,NA
"241",241,"12/11/16","JAX","MIN","L 16-25","Jason Myers",24,"Y","N","Home",79,"",1,"",NA,NA,NA
"242",242,"12/11/16","CIN","CLE","W 23-10","Mike Nugent",36,"N","N","Away",79,"",12,"",NA,NA,NA
"243",243,"12/11/16","SFO","NYJ","L 17-23","Phil Dawson",48,"N","N","Home",86,"",18,"",NA,NA,NA
"244",244,"12/11/16","PIT","BUF","W 27-20","Chris Boswell",39,"Y","N","Away",84,"",1,"",NA,NA,NA
"245",245,"12/11/16","TAM","NOR","W 16-11","Roberto Aguayo",41,"Y","N","Home",71,"",0,"",NA,NA,NA
"246",246,"12/11/16","TEN","DEN","W 13-10","Ryan Succop",53,"Y","N","Home",92,"",7,"",NA,NA,NA
"247",247,"12/11/16","SEA","GNB","L 10-38","Steven Hauschka",28,"Y","N","Away",89,"",9,"",NA,NA,NA
"248",248,"12/11/16","ARI","MIA","L 23-26","Chandler Catanzaro",41,"N","N","Away",75,"",2,"",NA,NA,NA
"249",249,"12/11/16","MIN","JAX","W 25-16","Kai Forbath",40,"Y","N","Away",100,"",5,"",NA,NA,NA
"250",250,"12/11/16","DET","CHI","W 20-17","Matt Prater",29,"Y","N","Home",86,"",10,"",NA,NA,NA
"251",251,"12/11/16","DAL","NYG","L 7-10","Dan Bailey",55,"N","N","Away",84,"",5,"",NA,NA,NA
"252",252,"12/11/16","NOR","TAM","L 11-16","Wil Lutz",34,"Y","N","Away",82,"",0,"",NA,NA,NA
"253",253,"12/11/16","HOU","IND","W 22-17","Nick Novak",34,"Y","N","Away",85,"",9,"",NA,NA,NA
"254",254,"12/11/16","PHI","WAS","L 22-27","Caleb Sturgis",36,"Y","N","Home",85,"",3,"",NA,NA,NA
"255",255,"12/11/16","JAX","MIN","L 16-25","Jason Myers",61,"N","Y","Home",79,"",1,"",NA,NA,NA
"256",256,"12/11/16","NYJ","SFO","W 23-17","Nick Folk",30,"Y","N","Away",87,"",9,"",NA,NA,NA
"257",257,"12/11/16","TAM","NOR","W 16-11","Roberto Aguayo",26,"Y","N","Home",71,"",0,"",NA,NA,NA
"258",258,"12/8/16","OAK","KAN","L 13-21","Sebastian Janikowski",33,"Y","N","Away",83,"",16,"",NA,NA,NA
"259",259,"12/8/16","OAK","KAN","L 13-21","Sebastian Janikowski",44,"Y","N","Away",83,"",16,"",NA,NA,NA
"260",260,"12/5/16","IND","NYJ","W 41-10","Adam Vinatieri",53,"Y","N","Away",87,"",20,"",NA,NA,NA
"261",261,"12/5/16","NYJ","IND","L 10-41","Nick Folk",38,"Y","N","Home",87,"",9,"",NA,NA,NA
"262",262,"12/5/16","IND","NYJ","W 41-10","Adam Vinatieri",36,"Y","N","Away",87,"",20,"",NA,NA,NA
"263",263,"12/4/16","CHI","SFO","W 26-6","Connor Barth",45,"Y","N","Home",78,"",7,"",NA,NA,NA
"264",264,"12/4/16","CIN","PHI","W 32-14","Mike Nugent",38,"Y","N","Home",79,"",12,"",NA,NA,NA
"265",265,"12/4/16","TAM","SDG","W 28-21","Roberto Aguayo",35,"Y","N","Away",71,"",0,"",NA,NA,NA
"266",266,"12/4/16","OAK","BUF","W 38-24","Sebastian Janikowski",47,"Y","N","Home",83,"",16,"",NA,NA,NA
"267",267,"12/4/16","NWE","LAR","W 26-10","Stephen Gostkowski",45,"Y","N","Home",84,"",10,"",NA,NA,NA
"268",268,"12/4/16","ATL","KAN","L 28-29","Matt Bryant",22,"Y","N","Home",92,"",15,"",NA,NA,NA
"269",269,"12/4/16","SEA","CAR","W 40-7","Steven Hauschka",28,"Y","N","Home",89,"",9,"",NA,NA,NA
"270",270,"12/4/16","ARI","WAS","W 31-23","Chandler Catanzaro",53,"N","N","Home",75,"",2,"",NA,NA,NA
"271",271,"12/4/16","DET","NOR","W 28-13","Matt Prater",52,"Y","N","Away",86,"",10,"",NA,NA,NA
"272",272,"12/4/16","CIN","PHI","W 32-14","Mike Nugent",32,"Y","N","Home",79,"",12,"",NA,NA,NA
"273",273,"12/4/16","BAL","MIA","W 38-6","Justin Tucker",55,"Y","N","Home",97,"",4,"",NA,NA,NA
"274",274,"12/4/16","PIT","NYG","W 24-14","Randy Bullock",44,"Y","N","Home",83,"",6,"",NA,NA,NA
"275",275,"12/4/16","DEN","JAX","W 20-10","Brandon McManus",32,"Y","N","Away",85,"",2,"",NA,NA,NA
"276",276,"12/4/16","WAS","ARI","L 23-31","Dustin Hopkins",20,"Y","N","Away",81,"",2,"",NA,NA,NA
"277",277,"12/4/16","SEA","CAR","W 40-7","Steven Hauschka",23,"Y","N","Home",89,"",9,"",NA,NA,NA
"278",278,"12/4/16","DET","NOR","W 28-13","Matt Prater",29,"Y","N","Away",86,"",10,"",NA,NA,NA
"279",279,"12/4/16","BUF","OAK","L 24-38","Dan Carpenter",27,"Y","N","Away",76,"",8,"",NA,NA,NA
"280",280,"12/4/16","ATL","KAN","L 28-29","Matt Bryant",59,"Y","N","Home",92,"",15,"",NA,NA,NA
"281",281,"12/4/16","CIN","PHI","W 32-14","Mike Nugent",26,"Y","N","Home",79,"",12,"",NA,NA,NA
"282",282,"12/4/16","SFO","CHI","L 6-26","Phil Dawson",28,"Y","N","Away",86,"",18,"",NA,NA,NA
"283",283,"12/4/16","PIT","NYG","W 24-14","Randy Bullock",38,"Y","N","Home",83,"",6,"",NA,NA,NA
"284",284,"12/4/16","TAM","SDG","W 28-21","Roberto Aguayo",27,"Y","N","Away",71,"",0,"",NA,NA,NA
"285",285,"12/4/16","OAK","BUF","W 38-24","Sebastian Janikowski",41,"Y","N","Home",83,"",16,"",NA,NA,NA
"286",286,"12/4/16","NWE","LAR","W 26-10","Stephen Gostkowski",48,"Y","N","Home",84,"",10,"",NA,NA,NA
"287",287,"12/4/16","SEA","CAR","W 40-7","Steven Hauschka",31,"Y","N","Home",89,"",9,"",NA,NA,NA
"288",288,"12/4/16","ARI","WAS","W 31-23","Chandler Catanzaro",28,"Y","N","Home",75,"",2,"",NA,NA,NA
"289",289,"12/4/16","DET","NOR","W 28-13","Matt Prater",27,"Y","N","Away",86,"",10,"",NA,NA,NA
"290",290,"12/4/16","NOR","DET","L 13-28","Wil Lutz",32,"Y","N","Home",82,"",0,"",NA,NA,NA
"291",291,"12/4/16","SDG","TAM","L 21-28","Josh Lambo",53,"N","N","Home",81,"",1,"",NA,NA,NA
"292",292,"12/4/16","MIA","BAL","L 6-38","Andrew Franks",46,"N","N","Away",76,"",1,"",NA,NA,NA
"293",293,"12/4/16","WAS","ARI","L 23-31","Dustin Hopkins",47,"Y","N","Away",81,"",2,"",NA,NA,NA
"294",294,"12/4/16","PHI","CIN","L 14-32","Caleb Sturgis",51,"N","N","Away",85,"",3,"",NA,NA,NA
"295",295,"12/4/16","DET","NOR","W 28-13","Matt Prater",27,"Y","N","Away",86,"",10,"",NA,NA,NA
"296",296,"12/4/16","NWE","LAR","W 26-10","Stephen Gostkowski",45,"Y","N","Home",84,"",10,"",NA,NA,NA
"297",297,"12/4/16","LAR","NWE","L 10-26","Greg Zuerlein",44,"Y","N","Away",86,"",4,"",NA,NA,NA
"298",298,"12/4/16","ATL","KAN","L 28-29","Matt Bryant",22,"Y","N","Home",92,"",15,"",NA,NA,NA
"299",299,"12/4/16","JAX","DEN","L 10-20","Jason Myers",47,"Y","N","Home",79,"",1,"",NA,NA,NA
"300",300,"12/4/16","CIN","PHI","W 32-14","Mike Nugent",33,"Y","N","Home",79,"",12,"",NA,NA,NA
"301",301,"12/4/16","SFO","CHI","L 6-26","Phil Dawson",31,"Y","N","Away",86,"",18,"",NA,NA,NA
"302",302,"12/4/16","PIT","NYG","W 24-14","Randy Bullock",34,"Y","N","Home",83,"",6,"",NA,NA,NA
"303",303,"12/4/16","TAM","SDG","W 28-21","Roberto Aguayo",31,"N","N","Away",71,"",0,"",NA,NA,NA
"304",304,"12/4/16","OAK","BUF","W 38-24","Sebastian Janikowski",47,"Y","N","Home",83,"",16,"",NA,NA,NA
"305",305,"12/4/16","NWE","LAR","W 26-10","Stephen Gostkowski",28,"Y","N","Home",84,"",10,"",NA,NA,NA
"306",306,"12/4/16","DEN","JAX","W 20-10","Brandon McManus",41,"Y","N","Away",85,"",2,"",NA,NA,NA
"307",307,"12/4/16","WAS","ARI","L 23-31","Dustin Hopkins",53,"Y","N","Away",81,"",2,"",NA,NA,NA
"308",308,"12/4/16","SEA","CAR","W 40-7","Steven Hauschka",37,"Y","N","Home",89,"",9,"",NA,NA,NA
"309",309,"12/4/16","DET","NOR","W 28-13","Matt Prater",32,"Y","N","Away",86,"",10,"",NA,NA,NA
"310",310,"12/4/16","NOR","DET","L 13-28","Wil Lutz",40,"Y","N","Home",82,"",0,"",NA,NA,NA
"311",311,"12/1/16","DAL","MIN","W 17-15","Dan Bailey",39,"Y","N","Away",84,"",5,"",NA,NA,NA
"312",312,"12/1/16","MIN","DAL","L 15-17","Kai Forbath",36,"Y","N","Home",100,"",5,"",NA,NA,NA
"313",313,"12/1/16","MIN","DAL","L 15-17","Kai Forbath",48,"Y","N","Home",100,"",5,"",NA,NA,NA
"314",314,"12/1/16","MIN","DAL","L 15-17","Kai Forbath",33,"Y","N","Home",100,"",5,"",NA,NA,NA
"315",315,"11/28/16","PHI","GNB","L 13-27","Caleb Sturgis",50,"Y","N","Home",85,"",3,"",NA,NA,NA
"316",316,"11/28/16","GNB","PHI","W 27-13","Mason Crosby",33,"Y","N","Away",87,"",9,"",NA,NA,NA
"317",317,"11/28/16","PHI","GNB","L 13-27","Caleb Sturgis",48,"Y","N","Home",85,"",3,"",NA,NA,NA
"318",318,"11/28/16","GNB","PHI","W 27-13","Mason Crosby",32,"Y","N","Away",87,"",9,"",NA,NA,NA
"319",319,"11/27/16","KAN","DEN","W 30-27","Cairo Santos",37,"Y","N","Away",89,"",2,"",NA,NA,NA
"320",320,"11/27/16","SDG","HOU","W 21-13","Josh Lambo",54,"N","N","Away",81,"",1,"",NA,NA,NA
"321",321,"11/27/16","NWE","NYJ","W 22-17","Stephen Gostkowski",39,"N","N","Away",84,"",10,"",NA,NA,NA
"322",322,"11/27/16","DEN","KAN","L 27-30","Brandon McManus",44,"Y","N","Home",85,"",2,"",NA,NA,NA
"323",323,"11/27/16","MIA","SFO","W 31-24","Andrew Franks",24,"Y","N","Home",76,"",1,"",NA,NA,NA
"324",324,"11/27/16","NYJ","NWE","L 17-22","Nick Folk",54,"N","Y","Home",87,"",9,"",NA,NA,NA
"325",325,"11/27/16","TEN","CHI","W 27-21","Ryan Succop",31,"Y","N","Away",92,"",7,"",NA,NA,NA
"326",326,"11/27/16","HOU","SDG","L 13-21","Nick Novak",19,"Y","N","Home",85,"",9,"",NA,NA,NA
"327",327,"11/27/16","SFO","MIA","L 24-31","Phil Dawson",36,"Y","N","Away",86,"",18,"",NA,NA,NA
"328",328,"11/27/16","TAM","SEA","W 14-5","Roberto Aguayo",48,"N","N","Home",71,"",0,"",NA,NA,NA
"329",329,"11/27/16","OAK","CAR","W 35-32","Sebastian Janikowski",23,"Y","N","Home",83,"",16,"",NA,NA,NA
"330",330,"11/27/16","NWE","NYJ","W 22-17","Stephen Gostkowski",41,"Y","N","Away",84,"",10,"",NA,NA,NA
"331",331,"11/27/16","ARI","ATL","L 19-38","Chandler Catanzaro",25,"Y","N","Away",75,"",2,"",NA,NA,NA
"332",332,"11/27/16","BAL","CIN","W 19-14","Justin Tucker",57,"Y","N","Home",97,"",4,"",NA,NA,NA
"333",333,"11/27/16","NWE","NYJ","W 22-17","Stephen Gostkowski",28,"Y","N","Away",84,"",10,"",NA,NA,NA
"334",334,"11/27/16","DEN","KAN","L 27-30","Brandon McManus",33,"Y","N","Home",85,"",2,"",NA,NA,NA
"335",335,"11/27/16","NYJ","NWE","L 17-22","Nick Folk",51,"Y","N","Home",87,"",9,"",NA,NA,NA
"336",336,"11/27/16","TEN","CHI","W 27-21","Ryan Succop",19,"Y","N","Away",92,"",7,"",NA,NA,NA
"337",337,"11/27/16","ATL","ARI","W 38-19","Matt Bryant",45,"Y","N","Home",92,"",15,"",NA,NA,NA
"338",338,"11/27/16","CIN","BAL","L 14-19","Mike Nugent",36,"Y","N","Away",79,"",12,"",NA,NA,NA
"339",339,"11/27/16","BAL","CIN","W 19-14","Justin Tucker",36,"Y","N","Home",97,"",4,"",NA,NA,NA
"340",340,"11/27/16","CLE","NYG","L 13-27","Cody Parkey",25,"Y","N","Home",80,"",2,"",NA,NA,NA
"341",341,"11/27/16","KAN","DEN","W 30-27","Cairo Santos",34,"Y","N","Away",89,"",2,"",NA,NA,NA
"342",342,"11/27/16","OAK","CAR","W 35-32","Sebastian Janikowski",23,"Y","N","Home",83,"",16,"",NA,NA,NA
"343",343,"11/27/16","NWE","NYJ","W 22-17","Stephen Gostkowski",29,"Y","N","Away",84,"",10,"",NA,NA,NA
"344",344,"11/27/16","DEN","KAN","L 27-30","Brandon McManus",62,"N","N","Home",85,"",2,"",NA,NA,NA
"345",345,"11/27/16","SEA","TAM","L 5-14","Steven Hauschka",43,"Y","N","Away",89,"",9,"",NA,NA,NA
"346",346,"11/27/16","BAL","CIN","W 19-14","Justin Tucker",52,"Y","N","Home",97,"",4,"",NA,NA,NA
"347",347,"11/27/16","HOU","SDG","L 13-21","Nick Novak",45,"Y","N","Home",85,"",9,"",NA,NA,NA
"348",348,"11/27/16","ARI","ATL","L 19-38","Chandler Catanzaro",54,"Y","N","Away",75,"",2,"",NA,NA,NA
"349",349,"11/27/16","CIN","BAL","L 14-19","Mike Nugent",23,"Y","N","Away",79,"",12,"",NA,NA,NA
"350",350,"11/27/16","BAL","CIN","W 19-14","Justin Tucker",54,"Y","N","Home",97,"",4,"",NA,NA,NA
"351",351,"11/27/16","CLE","NYG","L 13-27","Cody Parkey",20,"Y","N","Home",80,"",2,"",NA,NA,NA
"352",352,"11/24/16","WAS","DAL","L 26-31","Dustin Hopkins",20,"Y","N","Away",81,"",2,"",NA,NA,NA
"353",353,"11/24/16","MIN","DET","L 13-16","Kai Forbath",28,"Y","N","Away",100,"",5,"",NA,NA,NA
"354",354,"11/24/16","DET","MIN","W 16-13","Matt Prater",40,"Y","N","Home",86,"",10,"",NA,NA,NA
"355",355,"11/24/16","WAS","DAL","L 26-31","Dustin Hopkins",43,"N","N","Away",81,"",2,"",NA,NA,NA
"356",356,"11/24/16","WAS","DAL","L 26-31","Dustin Hopkins",55,"N","N","Away",81,"",2,"",NA,NA,NA
"357",357,"11/24/16","MIN","DET","L 13-16","Kai Forbath",30,"Y","N","Away",100,"",5,"",NA,NA,NA
"358",358,"11/24/16","DET","MIN","W 16-13","Matt Prater",48,"Y","N","Home",86,"",10,"",NA,NA,NA
"359",359,"11/24/16","DAL","WAS","W 31-26","Dan Bailey",46,"Y","N","Home",84,"",5,"",NA,NA,NA
"360",360,"11/24/16","IND","PIT","L 7-28","Adam Vinatieri",52,"N","N","Home",87,"",20,"",NA,NA,NA
"361",361,"11/24/16","WAS","DAL","L 26-31","Dustin Hopkins",24,"Y","N","Away",81,"",2,"",NA,NA,NA
"362",362,"11/24/16","DET","MIN","W 16-13","Matt Prater",29,"Y","N","Home",86,"",10,"",NA,NA,NA
"363",363,"11/21/16","OAK","HOU","W 27-20","Sebastian Janikowski",20,"Y","N","Home",83,"",16,"",NA,NA,NA
"364",364,"11/21/16","OAK","HOU","W 27-20","Sebastian Janikowski",19,"Y","N","Home",83,"",16,"",NA,NA,NA
"365",365,"11/21/16","HOU","OAK","L 20-27","Nick Novak",28,"Y","N","Away",85,"",9,"",NA,NA,NA
"366",366,"11/21/16","HOU","OAK","L 20-27","Nick Novak",32,"Y","N","Away",85,"",9,"",NA,NA,NA
"367",367,"11/20/16","IND","TEN","W 24-17","Adam Vinatieri",49,"Y","N","Home",87,"",20,"",NA,NA,NA
"368",368,"11/20/16","SEA","PHI","W 26-15","Steven Hauschka",44,"N","N","Home",89,"",9,"",NA,NA,NA
"369",369,"11/20/16","BAL","DAL","L 17-27","Justin Tucker",46,"Y","N","Away",97,"",4,"",NA,NA,NA
"370",370,"11/20/16","BUF","CIN","W 16-12","Dan Carpenter",54,"Y","N","Away",76,"",8,"",NA,NA,NA
"371",371,"11/20/16","GNB","WAS","L 24-42","Mason Crosby",36,"Y","N","Away",87,"",9,"",NA,NA,NA
"372",372,"11/20/16","LAR","MIA","L 10-14","Greg Zuerlein",48,"N","N","Home",86,"",4,"",NA,NA,NA
"373",373,"11/20/16","DET","JAX","W 26-19","Matt Prater",43,"Y","N","Home",86,"",10,"",NA,NA,NA
"374",374,"11/20/16","JAX","DET","L 19-26","Jason Myers",52,"Y","N","Away",79,"",1,"",NA,NA,NA
"375",375,"11/20/16","PIT","CLE","W 24-9","Chris Boswell",32,"Y","N","Away",84,"",1,"",NA,NA,NA
"376",376,"11/20/16","DAL","BAL","W 27-17","Dan Bailey",30,"Y","N","Home",84,"",5,"",NA,NA,NA
"377",377,"11/20/16","TAM","KAN","W 19-17","Roberto Aguayo",22,"Y","N","Away",71,"",0,"",NA,NA,NA
"378",378,"11/20/16","CLE","PIT","L 9-24","Cody Parkey",24,"Y","N","Home",80,"",2,"",NA,NA,NA
"379",379,"11/20/16","KAN","TAM","L 17-19","Cairo Santos",22,"Y","N","Home",89,"",2,"",NA,NA,NA
"380",380,"11/20/16","IND","TEN","W 24-17","Adam Vinatieri",42,"N","N","Home",87,"",20,"",NA,NA,NA
"381",381,"11/20/16","CHI","NYG","L 16-22","Connor Barth",51,"N","N","Away",78,"",7,"",NA,NA,NA
"382",382,"11/20/16","SEA","PHI","W 26-15","Steven Hauschka",35,"Y","N","Home",89,"",9,"",NA,NA,NA
"383",383,"11/20/16","BUF","CIN","W 16-12","Dan Carpenter",26,"Y","N","Away",76,"",8,"",NA,NA,NA
"384",384,"11/20/16","WAS","GNB","W 42-24","Dustin Hopkins",37,"Y","N","Home",81,"",2,"",NA,NA,NA
"385",385,"11/20/16","LAR","MIA","L 10-14","Greg Zuerlein",46,"Y","N","Home",86,"",4,"",NA,NA,NA
"386",386,"11/20/16","NYG","CHI","W 22-16","Robbie Gould",46,"Y","N","Home",100,"",11,"",NA,NA,NA
"387",387,"11/20/16","DET","JAX","W 26-19","Matt Prater",27,"Y","N","Home",86,"",10,"",NA,NA,NA
"388",388,"11/20/16","JAX","DET","L 19-26","Jason Myers",27,"Y","N","Away",79,"",1,"",NA,NA,NA
"389",389,"11/20/16","SFO","NWE","L 17-30","Phil Dawson",33,"Y","N","Home",86,"",18,"",NA,NA,NA
"390",390,"11/20/16","PIT","CLE","W 24-9","Chris Boswell",22,"Y","N","Away",84,"",1,"",NA,NA,NA
"391",391,"11/20/16","TAM","KAN","W 19-17","Roberto Aguayo",36,"Y","N","Away",71,"",0,"",NA,NA,NA
"392",392,"11/20/16","ARI","MIN","L 24-30","Chandler Catanzaro",34,"Y","N","Away",75,"",2,"",NA,NA,NA
"393",393,"11/20/16","BUF","CIN","W 16-12","Dan Carpenter",20,"Y","N","Away",76,"",8,"",NA,NA,NA
"394",394,"11/20/16","TAM","KAN","W 19-17","Roberto Aguayo",31,"Y","N","Away",71,"",0,"",NA,NA,NA
"395",395,"11/20/16","GNB","WAS","L 24-42","Mason Crosby",36,"N","N","Away",87,"",9,"",NA,NA,NA
"396",396,"11/20/16","NWE","SFO","W 30-17","Stephen Gostkowski",38,"Y","N","Away",84,"",10,"",NA,NA,NA
"397",397,"11/20/16","CHI","NYG","L 16-22","Connor Barth",40,"Y","N","Away",78,"",7,"",NA,NA,NA
"398",398,"11/20/16","SEA","PHI","W 26-15","Steven Hauschka",21,"Y","N","Home",89,"",9,"",NA,NA,NA
"399",399,"11/20/16","MIN","ARI","W 30-24","Kai Forbath",27,"Y","N","Home",100,"",5,"",NA,NA,NA
"400",400,"11/20/16","TEN","IND","L 17-24","Ryan Succop",47,"Y","N","Away",92,"",7,"",NA,NA,NA
"401",401,"11/20/16","PIT","CLE","W 24-9","Chris Boswell",33,"Y","N","Away",84,"",1,"",NA,NA,NA
"402",402,"11/20/16","DAL","BAL","W 27-17","Dan Bailey",21,"Y","N","Home",84,"",5,"",NA,NA,NA
"403",403,"11/20/16","TAM","KAN","W 19-17","Roberto Aguayo",41,"Y","N","Away",71,"",0,"",NA,NA,NA
"404",404,"11/17/16","NOR","CAR","L 20-23","Wil Lutz",27,"Y","N","Away",82,"",0,"",NA,NA,NA
"405",405,"11/17/16","CAR","NOR","W 23-20","Graham Gano",49,"Y","N","Home",79,"",7,"",NA,NA,NA
"406",406,"11/17/16","NOR","CAR","L 20-23","Wil Lutz",30,"Y","N","Away",82,"",0,"",NA,NA,NA
"407",407,"11/17/16","CAR","NOR","W 23-20","Graham Gano",32,"Y","N","Home",79,"",7,"",NA,NA,NA
"408",408,"11/17/16","NOR","CAR","L 20-23","Wil Lutz",38,"N","Y","Away",82,"",0,"",NA,NA,NA
"409",409,"11/17/16","CAR","NOR","W 23-20","Graham Gano",42,"Y","N","Home",79,"",7,"",NA,NA,NA
"410",410,"11/14/16","CIN","NYG","L 20-21","Mike Nugent",38,"Y","N","Away",79,"",12,"",NA,NA,NA
"411",411,"11/14/16","CIN","NYG","L 20-21","Mike Nugent",25,"Y","N","Away",79,"",12,"",NA,NA,NA
"412",412,"11/13/16","HOU","JAX","W 24-21","Nick Novak",49,"N","N","Away",85,"",9,"",NA,NA,NA
"413",413,"11/13/16","WAS","MIN","W 26-20","Dustin Hopkins",30,"Y","N","Home",81,"",2,"",NA,NA,NA
"414",414,"11/13/16","ATL","PHI","L 15-24","Matt Bryant",38,"Y","N","Away",92,"",15,"",NA,NA,NA
"415",415,"11/13/16","ARI","SFO","W 23-20","Chandler Catanzaro",34,"Y","N","Home",75,"",2,"",NA,NA,NA
"416",416,"11/13/16","PIT","DAL","L 30-35","Chris Boswell",55,"N","N","Home",84,"",1,"",NA,NA,NA
"417",417,"11/13/16","DAL","PIT","W 35-30","Dan Bailey",53,"Y","N","Away",84,"",5,"",NA,NA,NA
"418",418,"11/13/16","TAM","CHI","W 36-10","Roberto Aguayo",27,"Y","N","Home",71,"",0,"",NA,NA,NA
"419",419,"11/13/16","NWE","SEA","L 24-31","Stephen Gostkowski",30,"Y","N","Home",84,"",10,"",NA,NA,NA
"420",420,"11/13/16","DEN","NOR","W 25-23","Brandon McManus",28,"Y","N","Away",85,"",2,"",NA,NA,NA
"421",421,"11/13/16","CHI","TAM","L 10-36","Connor Barth",54,"Y","N","Away",78,"",7,"",NA,NA,NA
"422",422,"11/13/16","SEA","NWE","W 31-24","Steven Hauschka",23,"Y","N","Away",89,"",9,"",NA,NA,NA
"423",423,"11/13/16","PHI","ATL","W 24-15","Caleb Sturgis",55,"N","N","Home",85,"",3,"",NA,NA,NA
"424",424,"11/13/16","KAN","CAR","W 20-17","Cairo Santos",33,"Y","N","Away",89,"",2,"",NA,NA,NA
"425",425,"11/13/16","TEN","GNB","W 47-25","Ryan Succop",23,"Y","N","Home",92,"",7,"",NA,NA,NA
"426",426,"11/13/16","HOU","JAX","W 24-21","Nick Novak",51,"Y","N","Away",85,"",9,"",NA,NA,NA
"427",427,"11/13/16","WAS","MIN","W 26-20","Dustin Hopkins",50,"Y","N","Home",81,"",2,"",NA,NA,NA
"428",428,"11/13/16","SEA","NWE","W 31-24","Steven Hauschka",27,"Y","N","Away",89,"",9,"",NA,NA,NA
"429",429,"11/13/16","LAR","NYJ","W 9-6","Greg Zuerlein",38,"Y","N","Away",86,"",4,"",NA,NA,NA
"430",430,"11/13/16","PHI","ATL","W 24-15","Caleb Sturgis",44,"N","N","Home",85,"",3,"",NA,NA,NA
"431",431,"11/13/16","ATL","PHI","L 15-24","Matt Bryant",53,"N","N","Away",92,"",15,"",NA,NA,NA
"432",432,"11/13/16","JAX","HOU","L 21-24","Jason Myers",54,"Y","N","Home",79,"",1,"",NA,NA,NA
"433",433,"11/13/16","SFO","ARI","L 20-23","Phil Dawson",49,"Y","N","Away",86,"",18,"",NA,NA,NA
"434",434,"11/13/16","SDG","MIA","L 24-31","Josh Lambo",45,"Y","N","Home",81,"",1,"",NA,NA,NA
"435",435,"11/13/16","MIA","SDG","W 31-24","Andrew Franks",27,"Y","N","Away",76,"",1,"",NA,NA,NA
