"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"47",47,"1/1/17","NWE","MIA","W 35-14","Stephen Gostkowski",52,"N","N","Away",84,"80",10,"",NA,NA,NA
"48",48,"1/1/17","ARI","LAR","W 44-6","Chandler Catanzaro",47,"Y","N","Away",75,"56",2,"",NA,NA,NA
"49",49,"1/1/17","DAL","PHI","L 13-27","Dan Bailey",23,"Y","N","Away",84,"48",5,"",NA,NA,NA
"50",50,"1/1/17","NOR","ATL","L 32-38","Wil Lutz",40,"Y","N","Away",82,"DOME",0,"",NA,NA,NA
"51",51,"1/1/17","CLE","PIT","L 24-27","Cody Parkey",34,"Y","N","Away",80,"38",2,"",NA,NA,NA
"52",52,"1/1/17","TEN","HOU","W 24-17","Ryan Succop",35,"Y","N","Home",92,"49",7,"",NA,NA,NA
"53",53,"1/1/17","CAR","TAM","L 16-17","Graham Gano",45,"N","N","Away",79,"76",7,"",NA,NA,NA
"54",54,"1/1/17","HOU","TEN","L 17-24","Nick Novak",26,"Y","N","Away",85,"49",9,"",NA,NA,NA
"55",55,"1/1/17","WAS","NYG","L 10-19","Dustin Hopkins",32,"Y","N","Home",81,"52",2,"",NA,NA,NA
"56",56,"1/1/17","SEA","SFO","W 25-23","Steven Hauschka",32,"Y","N","Away",89,"52",9,"",NA,NA,NA
"57",57,"1/1/17","PHI","DAL","W 27-13","Caleb Sturgis",49,"N","N","Home",85,"48",3,"",NA,NA,NA
"58",58,"1/1/17","NYG","WAS","W 19-10","Robbie Gould",22,"Y","N","Away",100,"52",11,"",NA,NA,NA
"59",59,"1/1/17","DET","GNB","L 24-31","Matt Prater",39,"N","N","Home",86,"DOME",10,"",NA,NA,NA
"60",60,"1/1/17","JAX","IND","L 20-24","Jason Myers",30,"N","N","Away",79,"DOME",1,"",NA,NA,NA
"61",61,"1/1/17","NYJ","BUF","W 30-10","Nick Folk",25,"Y","N","Home",87,"45",9,"",NA,NA,NA
"62",62,"12/26/16","DET","DAL","L 21-42","Matt Prater",47,"N","N","Away",86,"",10,"",NA,NA,NA
"63",63,"12/25/16","PIT","BAL","W 31-27","Chris Boswell",36,"Y","N","Home",84,"",1,"",NA,NA,NA
"64",64,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",39,"Y","N","Home",89,"",2,"",NA,NA,NA
"65",65,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",38,"Y","N","Away",97,"",4,"",NA,NA,NA
"66",66,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",23,"Y","N","Away",97,"",4,"",NA,NA,NA
"67",67,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",27,"Y","N","Home",89,"",2,"",NA,NA,NA
"68",68,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",41,"Y","N","Away",97,"",4,"",NA,NA,NA
"69",69,"12/25/16","DEN","KAN","L 10-33","Brandon McManus",52,"Y","N","Away",85,"",2,"",NA,NA,NA
"70",70,"12/25/16","BAL","PIT","L 27-31","Justin Tucker",46,"Y","N","Away",97,"",4,"",NA,NA,NA
"71",71,"12/25/16","KAN","DEN","W 33-10","Cairo Santos",39,"N","N","Home",89,"",2,"",NA,NA,NA
"72",72,"12/24/16","CAR","ATL","L 16-33","Graham Gano",31,"Y","N","Home",79,"",7,"",NA,NA,NA
"73",73,"12/24/16","IND","OAK","L 25-33","Adam Vinatieri",42,"Y","N","Away",87,"",20,"",NA,NA,NA
"74",74,"12/24/16","HOU","CIN","W 12-10","Nick Novak",25,"Y","N","Home",85,"",9,"",NA,NA,NA
"75",75,"12/24/16","WAS","CHI","W 41-21","Dustin Hopkins",29,"Y","N","Away",81,"",2,"",NA,NA,NA
"76",76,"12/24/16","SEA","ARI","L 31-34","Steven Hauschka",45,"N","Y","Home",89,"",9,"",NA,NA,NA
"77",77,"12/24/16","JAX","TEN","W 38-17","Jason Myers",56,"Y","N","Home",79,"",1,"",NA,NA,NA
"78",78,"12/24/16","NYJ","NWE","L 3-41","Nick Folk",29,"Y","N","Away",87,"",9,"",NA,NA,NA
"79",79,"12/24/16","CLE","SDG","W 20-17","Cody Parkey",49,"Y","N","Home",80,"",2,"",NA,NA,NA
"80",80,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",32,"N","Y","Away",81,"",1,"",NA,NA,NA
"81",81,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",27,"Y","N","Away",76,"",1,"",NA,NA,NA
"82",82,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",29,"Y","N","Away",92,"",15,"",NA,NA,NA
"83",83,"12/24/16","CIN","HOU","L 10-12","Randy Bullock",43,"Y","N","Away",83,"",6,"",NA,NA,NA
"84",84,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",46,"N","N","Home",76,"",8,"",NA,NA,NA
"85",85,"12/24/16","TEN","JAX","L 17-38","Ryan Succop",42,"Y","N","Away",92,"",7,"",NA,NA,NA
"86",86,"12/24/16","CAR","ATL","L 16-33","Graham Gano",31,"Y","N","Home",79,"",7,"",NA,NA,NA
"87",87,"12/24/16","NWE","NYJ","W 41-3","Stephen Gostkowski",29,"Y","N","Home",84,"",10,"",NA,NA,NA
"88",88,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",51,"Y","N","Away",92,"",15,"",NA,NA,NA
"89",89,"12/24/16","ARI","SEA","W 34-31","Chandler Catanzaro",42,"Y","N","Away",75,"",2,"",NA,NA,NA
"90",90,"12/24/16","MIN","GNB","L 25-38","Kai Forbath",22,"Y","N","Away",100,"",5,"",NA,NA,NA
"91",91,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",42,"Y","N","Home",82,"",0,"",NA,NA,NA
"92",92,"12/24/16","JAX","TEN","W 38-17","Jason Myers",48,"Y","N","Home",79,"",1,"",NA,NA,NA
"93",93,"12/24/16","BUF","MIA","L 31-34","Dan Carpenter",45,"N","N","Home",76,"",8,"",NA,NA,NA
"94",94,"12/24/16","NYJ","NWE","L 3-41","Nick Folk",34,"N","N","Away",87,"",9,"",NA,NA,NA
"95",95,"12/24/16","SDG","CLE","L 17-20","Josh Lambo",43,"Y","N","Away",81,"",1,"",NA,NA,NA
"96",96,"12/24/16","MIA","BUF","W 34-31","Andrew Franks",55,"Y","N","Away",76,"",1,"",NA,NA,NA
"97",97,"12/24/16","CHI","WAS","L 21-41","Connor Barth",22,"N","Y","Home",78,"",7,"",NA,NA,NA
"98",98,"12/24/16","ATL","CAR","W 33-16","Matt Bryant",30,"N","Y","Away",92,"",15,"",NA,NA,NA
"99",99,"12/24/16","NOR","TAM","W 31-24","Wil Lutz",21,"Y","N","Home",82,"",0,"",NA,NA,NA
"100",100,"12/24/16","CAR","ATL","L 16-33","Graham Gano",40,"Y","N","Home",79,"",7,"",NA,NA,NA
